X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	,3	24	22,3	20,9
AUXY	33,8	32,4	32	30,4	28,7	27,3	26	24,3	22,9
GONDREVILLE NORD	35,5	34,1	33,7	32,1	30,4	29	27,7	26	24,6
GONDREVILLE SUD	38,2	36,8	36,4	34,8	33,1	31,7	30,4	28,7	27,3
FONTENAY-SUR-LOING	36	34,6	34,2	32,6	30,9	29,5	28,2	26,5	25,1
ST-HILAIRE-LES-ANDRÉSIS	38,4	37	36,6	35	33,3	31,9	30,6	28,9	27,5
SAVIGNY-SUR-CLAIRIS	38,8	37,4	37	35,4	33,7	32,3	31	29,3	27,9
VILLENEUVE-DONDAGRE	41,2	39,8	39,4	37,8	36,1	34,7	33,4	31,7	30,3
ST-DENIS-LES-SENS	41,9	40,5	40,1	38,5	36,8	35,4	34,1	32,4	31
FLEURY EN BIERE	44,3	42,9	42,5	40,9	39,2	37,8	36,5	34,8	33,4
URY	43,2	41,8	41,4	39,8	38,1	36,7	35,4	33,7	32,3
FONTAINEBLEAU	42,7	41,3	40,9	39,3	37,6	36,2	34,9	33,2	31,8
NEMOURS	42,7	41,3	40,9	39,3	37,6	36,2	34,9	33,2	31,8
COURTENAY	40,5	39,1	38,7	37,1	35,4	34	32,7	31	29,6
JOIGNY	41,5	40,1	39,7	38,1	36,4	35	33,7	32	30,6
AUXERRE NORD	43	41,6	41,2	39,6	37,9	36,5	35,2	33,5	32,1
AUXERRE SUD	43	41,6	41,2	39,6	37,9	36,5	35,2	33,5	32,1
NITRY	44,5	43,1	42,7	41,1	39,4	38	36,7	35	33,6
AVALLON	45,9	44,5	44,1	42,5	40,8	39,4	38,1	36,4	35
BIERRE-LES-SEMUR	47	45,6	45,2	43,6	41,9	40,5	39,2	37,5	36,1
POUILLY-EN-AUXOIS	48,9	47,5	47,1	45,5	43,8	42,4	41,1	39,4	38
BEAUNE NORD	50,9	49,5	49,1	47,5	45,8	44,4	43,1	41,4	40
BEAUNE SUD	51,5	50,1	49,7	48,1	46,4	45	43,7	42	40,6
CHALON NORD	52,8	51,4	51	49,4	47,7	46,3	45	43,3	41,9
CHALON SUD	52,8	51,4	51	49,4	47,7	46,3	45	43,3	41,9
TOURNUS	52,8	51,4	51	49,4	47,7	46,3	45	43,3	41,9
MÂCON NORD	54	52,6	52,2	50,6	48,9	47,5	46,2	44,5	43,1
MÂCON SUD	55,7	54,3	53,9	52,3	50,6	49,2	47,9	46,2	44,8
BELLEVILLE-SUR-SAÔNE	56,2	54,8	54,4	52,8	51,1	49,7	48,4	46,7	45,3
VILLEFRANCHE NORD	57	55,6	55,2	53,6	51,9	50,5	49,2	47,5	46,1
VILLEFRANCHE VILLE	58	56,6	56,2	54,6	52,9	51,5	50,2	48,5	47,1
VILLEFRANCHE LIMAS	58,3	56,9	56,5	54,9	53,2	51,8	50,5	48,8	47,4
VAL DE LOING/SOUPPES	60	58,6	58,2	56,6	54,9	53,5	52,2	50,5	49,1
VAL DE LOING BARRIERE	44,3	42,9	42,5	40,9	39,2	37,8	36,5	34,8	33,4
EMPRUNS	47,5	46,1	45,7	44,1	42,4	41	39,7	38	36,6
SAINT-GERMAIN LAXIS	46,2	44,8	44,4	42,8	41,1	39,7	38,4	36,7	35,3
CHATILLON-LABORDE	45,3	43,9	43,5	41,9	40,2	38,8	37,5	35,8	34,4
FORGES	45,3	43,9	43,5	41,9	40,2	38,8	37,5	35,8	34,4
MAROLLES-SUR-SEINE	43,3	41,9	41,5	39,9	38,2	36,8	35,5	33,8	32,4
VULAINES	43,3	41,9	41,5	39,9	38,2	36,8	35,5	33,8	32,4
TORVILLIERS	43,4	42	41,6	40	38,3	36,9	35,6	33,9	32,5
ST-THIBAULT	45,3	43,9	43,5	41,9	40,2	38,8	37,5	35,8	34,4
MAGNANT	45,7	44,3	43,9	42,3	40,6	39,2	37,9	36,2	34,8
VILLE-SOUS-LA-FERTÉ	47	45,6	45,2	43,6	41,9	40,5	39,2	37,5	36,1
CHAUMONT/SEMOUTIERS	47,9	46,5	46,1	44,5	42,8	41,4	40,1	38,4	37
THENNELIERES	49	47,6	47,2	45,6	43,9	42,5	41,2	39,5	38,1
CHARMONT-SOUS-BARBUISE	46,6	45,2	44,8	43,2	41,5	40,1	38,8	37,1	35,7
VALLÉE DE L’AUBE	47,5	46,1	45,7	44,1	42,4	41	39,7	38	36,6
SOMMESOUS	48,3	46,9	46,5	44,9	43,2	41,8	40,5	38,8	37,4
VATRY	49,6	48,2	47,8	46,2	44,5	43,1	41,8	40,1	38,7
MONT-CHOISY	49,8	48,4	48	46,4	44,7	43,3	42	40,3	38,9
ST-GIBRIEN	51,1	49,7	49,3	47,7	46	44,6	43,3	41,6	40,2
REIMS EST	51,6	50,2	49,8	48,2	46,5	45,1	43,8	42,1	40,7
REIMS SUD	54	52,6	52,2	50,6	48,9	47,5	46,2	44,5	43,1
REIMS OUEST	53,8	52,4	52	50,4	48,7	47,3	46	44,3	42,9
DORMANS	54,5	53,1	52,7	51,1	49,4	48	46,7	45	43,6
CHÂTEAU-THIERRY	55	53,6	53,2	51,6	49,9	48,5	47,2	45,5	44,1
MONTREUIL-REIMS	56	54,6	54,2	52,6	50,9	49,5	48,2	46,5	45,1
CHÂLONS/LA VEUVE	57,3	55,9	55,5	53,9	52,2	50,8	49,5	47,8	46,4
CHÂLONS/MOURMELON	58,5	57,1	56,7	55,1	53,4	52	50,7	49	47,6
ST-ETIENNE-AU-TEMPLE	60,1	58,7	58,3	56,7	55	53,6	52,3	50,6	49,2
ST-GERMAIN-LAXIS	52,2	50,8	50,4	48,8	47,1	45,7	44,4	42,7	41,3
BEAUNE SUD	52,3	50,9	50,5	48,9	47,2	45,8	44,5	42,8	41,4
STE-MENEHOULD	52,3	50,9	50,5	48,9	47,2	45,8	44,5	42,8	41,4
CLERMONT-EN-ARGONNE	53,8	52,4	52	50,4	48,7	47,3	46	44,3	42,9
VOIE SACRÉE	54,7	53,3	52,9	51,3	49,6	48,2	46,9	45,2	43,8
VERDUN	55,8	54,4	54	52,4	50,7	49,3	48	46,3	44,9
FRESNES-EN-WOEVRE	57,2	55,8	55,4	53,8	52,1	50,7	49,4	47,7	46,3
JARNY	57,2	55,8	55,4	53,8	52,1	50,7	49,4	47,7	46,3
BEAUMONT	58,3	56,9	56,5	54,9	53,2	51,8	50,5	48,8	47,4
GYE	59,8	58,4	58	56,4	54,7	53,3	52	50,3	48,9
COLOMBEY-LES-BELLES	56,2	54,8	54,4	52,8	51,1	49,7	48,4	46,7	45,3
CHATENOIS SUD	54,9	53,5	53,1	51,5	49,8	48,4	47,1	45,4	44
BULGNEVILLE	53,7	52,3	51,9	50,3	48,6	47,2	45,9	44,2	42,8
ROBECOURT	53,1	51,7	51,3	49,7	48	46,6	45,3	43,6	42,2
MONTIGNY-LE-ROI	52,4	51	50,6	49	47,3	45,9	44,6	42,9	41,5
LANGRES NORD	51,3	49,9	49,5	47,9	46,2	44,8	43,5	41,8	40,4
LANGRES SUD	50,2	48,8	48,4	46,8	45,1	43,7	42,4	40,7	39,3
TIL-CHATEL	50,9	49,5	49,1	47,5	45,8	44,4	43,1	41,4	40
DIJON/ARC-SUR- TILLE	52,2	50,8	50,4	48,8	47,1	45,7	44,4	42,7	41,3
DIJON SUD	54	52,6	52,2	50,6	48,9	47,5	46,2	44,5	43,1
NUITS-ST-GEORGES	52,9	51,5	51,1	49,5	47,8	46,4	45,1	43,4	42
SEURRE	52	50,6	50,2	48,6	46,9	45,5	44,2	42,5	41,1
DÔLE	52,7	51,3	50,9	49,3	47,6	46,2	44,9	43,2	41,8
GENDREY	54,2	52,8	52,4	50,8	49,1	47,7	46,4	44,7	43,3
BESANÇON OUEST	55,2	53,8	53,4	51,8	50,1	48,7	47,4	45,7	44,3
BESANÇON NORD	56,3	54,9	54,5	52,9	51,2	49,8	48,5	46,8	45,4
BESANÇON EST	56,4	55	54,6	53	51,3	49,9	48,6	46,9	45,5
BAUME-LES-DAMES	56,8	55,4	55	53,4	51,7	50,3	49	47,3	45,9
L’ISLE-SUR-LE-DOUBS	58,5	57,1	56,7	55,1	53,4	52	50,7	49	47,6
SAINT-MAURICE	59,3	57,9	57,5	55,9	54,2	52,8	51,5	49,8	48,4
DIJON-CRIMOLOIS	62,5	61,1	60,7	59,1	57,4	56	54,7	53	51,6
SOIRANS	53,7	52,3	51,9	50,3	48,6	47,2	45,9	44,2	42,8
CHOISEY	54,1	52,7	52,3	50,7	49	47,6	46,3	44,6	43,2
BERSAILLIN	54,2	52,8	52,4	50,8	49,1	47,7	46,4	44,7	43,3
ARLAY	56,2	54,8	54,4	52,8	51,1	49,7	48,4	46,7	45,3
BEAUREPAIRE	56,3	54,9	54,5	52,9	51,2	49,8	48,5	46,8	45,4
LE MIROIR	57	55,6	55,2	53,6	51,9	50,5	49,2	47,5	46,1
BEAUPONT	57,9	56,5	56,1	54,5	52,8	51,4	50,1	48,4	47
VAL DE SAONE	58,8	57,4	57	55,4	53,7	52,3	51	49,3	47,9
MÂCON CENTRE	59,7	58,3	57,9	56,3	54,6	53,2	51,9	50,2	48,8
FEILLENS	56,1	54,7	54,3	52,7	51	49,6	48,3	46,6	45,2
REPLONGES	56,1	54,7	54,3	52,7	51	49,6	48,3	46,6	45,2
ST-GENIS	56,1	54,7	54,3	52,7	51	49,6	48,3	46,6	45,2
BOURG NORD	58,4	57	56,6	55	53,3	51,9	50,6	48,9	47,5
VIRIAT	57,4	56	55,6	54	52,3	50,9	49,6	47,9	46,5
BOURG SUD	58,1	56,7	56,3	54,7	53	51,6	50,3	48,6	47,2
ST-MARTIN-DU-FRESNE	58,8	57,4	57	55,4	53,7	52,3	51	49,3	47,9
SYLANS SUD	61,4	60	59,6	58	56,3	54,9	53,6	51,9	50,5
BELLEGARDE	61,8	60,4	60	58,4	56,7	55,3	54	52,3	50,9
ELOISE	64,3	62,9	62,5	60,9	59,2	57,8	56,5	54,8	53,4
VIRY	65,3	63,9	63,5	61,9	60,2	58,8	57,5	55,8	54,4
LA CROIX-CHALON	68,1	66,7	66,3	64,7	63	61,6	60,3	58,6	57,2
GROISSIAT	61,4	60	59,6	58	56,3	54,9	53,6	51,9	50,5
PONT-D’AIN	62,7	61,3	60,9	59,3	57,6	56,2	54,9	53,2	51,8
AMBÉRIEU	59,4	58	57,6	56	54,3	52,9	51,6	49,9	48,5
PÉROUGES	60	58,6	58,2	56,6	54,9	53,5	52,2	50,5	49,1
BALAN	60,6	59,2	58,8	57,2	55,5	54,1	52,8	51,1	49,7
LA BOISE/MONTUEL	60,6	59,2	58,8	57,2	55,5	54,1	52,8	51,1	49,7
BEYNOST	61,7	60,3	59,9	58,3	56,6	55,2	53,9	52,2	50,8
LA COTIERE	62,5	61,1	60,7	59,1	57,4	56	54,7	53	51,6
LA BOISSE	62,4	61	60,6	59	57,3	55,9	54,6	52,9	51,5
