X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
CHÂLONS/MOURMELON	60,4	59	58,7	57,1	55,3	54	52,6	50,9	49,5
ST-ETIENNE-AU-TEMPLE	52,5	51,1	50,8	49,2	47,4	46,1	44,7	43	41,6
ST-GERMAIN-LAXIS	52,6	51,2	50,9	49,3	47,5	46,2	44,8	43,1	41,7
BEAUNE SUD	52,6	51,2	50,9	49,3	47,5	46,2	44,8	43,1	41,7
STE-MENEHOULD	54,1	52,7	52,4	50,8	49	47,7	46,3	44,6	43,2
CLERMONT-EN-ARGONNE	55	53,6	53,3	51,7	49,9	48,6	47,2	45,5	44,1
VOIE SACRÉE	56,1	54,7	54,4	52,8	51	49,7	48,3	46,6	45,2
VERDUN	57,5	56,1	55,8	54,2	52,4	51,1	49,7	48	46,6
FRESNES-EN-WOEVRE	57,5	56,1	55,8	54,2	52,4	51,1	49,7	48	46,6
JARNY	58,6	57,2	56,9	55,3	53,5	52,2	50,8	49,1	47,7
BEAUMONT	60,1	58,7	58,4	56,8	55	53,7	52,3	50,6	49,2
GYE	56,6	55,2	54,9	53,3	51,5	50,2	48,8	47,1	45,7
COLOMBEY-LES-BELLES	55,3	53,9	53,6	52	50,2	48,9	47,5	45,8	44,4
CHATENOIS SUD	54	52,6	52,3	50,7	48,9	47,6	46,2	44,5	43,1
BULGNEVILLE	53,4	52	51,7	50,1	48,3	47	45,6	43,9	42,5
ROBECOURT	52,7	51,3	51	49,4	47,6	46,3	44,9	43,2	41,8
MONTIGNY-LE-ROI	51,6	50,2	49,9	48,3	46,5	45,2	43,8	42,1	40,7
LANGRES NORD	50,5	49,1	48,8	47,2	45,4	44,1	42,7	41	39,6
LANGRES SUD	51,2	49,8	49,5	47,9	46,1	44,8	43,4	41,7	40,3
TIL-CHATEL	52,5	51,1	50,8	49,2	47,4	46,1	44,7	43	41,6
DIJON/ARC-SUR-TILLE	54,3	52,9	52,6	51	49,2	47,9	46,5	44,8	43,4
DIJON SUD	53,2	51,8	51,5	49,9	48,1	46,8	45,4	43,7	42,3
NUITS-ST-GEORGES	52,3	50,9	50,6	49	47,2	45,9	44,5	42,8	41,4
SEURRE	53	51,6	51,3	49,7	47,9	46,6	45,2	43,5	42,1
DÔLE	54,5	53,1	52,8	51,2	49,4	48,1	46,7	45	43,6
GENDREY	55,6	54,2	53,9	52,3	50,5	49,2	47,8	46,1	44,7
BESANÇON OUEST	56,7	55,3	55	53,4	51,6	50,3	48,9	47,2	45,8
BESANÇON NORD	56,8	55,4	55,1	53,5	51,7	50,4	49	47,3	45,9
BESANÇON EST	57,2	55,8	55,5	53,9	52,1	50,8	49,4	47,7	46,3
BAUME-LES-DAMES	58,9	57,5	57,2	55,6	53,8	52,5	51,1	49,4	48
L’ISLE-SUR-LE-DOUBS	59,7	58,3	58	56,4	54,6	53,3	51,9	50,2	48,8
SAINT-MAURICE	63	61,6	61,3	59,7	57,9	56,6	55,2	53,5	52,1
DIJON-CRIMOLOIS	54	52,6	52,3	50,7	48,9	47,6	46,2	44,5	43,1
SOIRANS	54,3	52,9	52,6	51	49,2	47,9	46,5	44,8	43,4
CHOISEY	54,5	53,1	52,8	51,2	49,4	48,1	46,7	45	43,6
BERSAILLIN	56,6	55,2	54,9	53,3	51,5	50,2	48,8	47,1	45,7
ARLAY	56,7	55,3	55	53,4	51,6	50,3	48,9	47,2	45,8
BEAUREPAIRE	57,4	56	55,7	54,1	52,3	51	49,6	47,9	46,5
LE MIROIR	58,3	56,9	56,6	55	53,2	51,9	50,5	48,8	47,4
BEAUPONT	59,2	57,8	57,5	55,9	54,1	52,8	51,4	49,7	48,3
VAL DE SAONE	60,1	58,7	58,4	56,8	55	53,7	52,3	50,6	49,2
MÂCON CENTRE	56,5	55,1	54,8	53,2	51,4	50,1	48,7	47	45,6
FEILLENS	56,5	55,1	54,8	53,2	51,4	50,1	48,7	47	45,6
REPLONGES	56,5	55,1	54,8	53,2	51,4	50,1	48,7	47	45,6
ST-GENIS	58,8	57,4	57,1	55,5	53,7	52,4	51	49,3	47,9
BOURG NORD	57,8	56,4	56,1	54,5	52,7	51,4	50	48,3	46,9
VIRIAT	58,5	57,1	56,8	55,2	53,4	52,1	50,7	49	47,6
BOURG SUD	59,2	57,8	57,5	55,9	54,1	52,8	51,4	49,7	48,3
ST-MARTIN-DU-FRESNE	61,9	60,5	60,2	58,6	56,8	55,5	54,1	52,4	51
SYLANS SUD	62,3	60,9	60,6	59	57,2	55,9	54,5	52,8	51,4
BELLEGARDE	64,8	63,4	63,1	61,5	59,7	58,4	57	55,3	53,9
ELOISE	65,8	64,4	64,1	62,5	60,7	59,4	58	56,3	54,9
VIRY	68,7	67,3	67	65,4	63,6	62,3	60,9	59,2	57,8
LA CROIX-CHALON	61,9	60,5	60,2	58,6	56,8	55,5	54,1	52,4	51
GROISSIAT	63,2	61,8	61,5	59,9	58,1	56,8	55,4	53,7	52,3
PONT-D’AIN	59,8	58,4	58,1	56,5	54,7	53,4	52	50,3	48,9
AMBÉRIEU	60,4	59	58,7	57,1	55,3	54	52,6	50,9	49,5
PÉROUGES	61	59,6	59,3	57,7	55,9	54,6	53,2	51,5	50,1
BALAN	61	59,6	59,3	57,7	55,9	54,6	53,2	51,5	50,1
LA BOISE/MONTUEL	62,2	60,8	60,5	58,9	57,1	55,8	54,4	52,7	51,3
BEYNOST	63	61,6	61,3	59,7	57,9	56,6	55,2	53,5	52,1
LA COTIERE	62,9	61,5	61,2	59,6	57,8	56,5	55,1	53,4	52
LA BOISSE	63,8	62,4	62,1	60,5	58,7	57,4	56	54,3	52,9
