X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	34	32,6	32,3	30,7	28,9	27,6	26,2	24,5	23,1
AUXY	35,7	34,3	34	32,4	30,6	29,3	27,9	26,2	24,8
GONDREVILLE NORD	38,5	37,1	36,8	35,2	33,4	32,1	30,7	29	27,6
GONDREVILLE SUD	36,2	34,8	34,5	32,9	31,1	29,8	28,4	26,7	25,3
FONTENAY-SUR-LOING	38,6	37,2	36,9	35,3	33,5	32,2	30,8	29,1	27,7
ST-HILAIRE-LES-ANDRÉSIS	38,9	37,5	37,2	35,6	33,8	32,5	31,1	29,4	28
SAVIGNY-SUR-CLAIRIS	41,4	40	39,7	38,1	36,3	35	33,6	31,9	30,5
VILLENEUVE-DONDAGRE	42,1	40,7	40,4	38,8	37	35,7	34,3	32,6	31,2
ST-DENIS-LES-SENS	44,5	43,1	42,8	41,2	39,4	38,1	36,7	35	33,6
FLEURY EN BIERE	43,4	42	41,7	40,1	38,3	37	35,6	33,9	32,5
URY	42,9	41,5	41,2	39,6	37,8	36,5	35,1	33,4	32
FONTAINEBLEAU	42,9	41,5	41,2	39,6	37,8	36,5	35,1	33,4	32
NEMOURS	40,7	39,3	39	37,4	35,6	34,3	32,9	31,2	29,8
COURTENAY	41,7	40,3	40	38,4	36,6	35,3	33,9	32,2	30,8
JOIGNY	43,2	41,8	41,5	39,9	38,1	36,8	35,4	33,7	32,3
AUXERRE NORD	43,2	41,8	41,5	39,9	38,1	36,8	35,4	33,7	32,3
AUXERRE SUD	44,7	43,3	43	41,4	39,6	38,3	36,9	35,2	33,8
NITRY	46,1	44,7	44,4	42,8	41	39,7	38,3	36,6	35,2
AVALLON	47,3	45,9	45,6	44	42,2	40,9	39,5	37,8	36,4
BIERRE-LES-SEMUR	49,2	47,8	47,5	45,9	44,1	42,8	41,4	39,7	38,3
POUILLY-EN-AUXOIS	51,2	49,8	49,5	47,9	46,1	44,8	43,4	41,7	40,3
BEAUNE NORD	51,8	50,4	50,1	48,5	46,7	45,4	44	42,3	40,9
BEAUNE SUD	53,1	51,7	51,4	49,8	48	46,7	45,3	43,6	42,2
CHALON NORD	53,1	51,7	51,4	49,8	48	46,7	45,3	43,6	42,2
CHALON SUD	53,1	51,7	51,4	49,8	48	46,7	45,3	43,6	42,2
TOURNUS	54,3	52,9	52,6	51	49,2	47,9	46,5	44,8	43,4
MÂCON NORD	56,1	54,7	54,4	52,8	51	49,7	48,3	46,6	45,2
MÂCON SUD	56,6	55,2	54,9	53,3	51,5	50,2	48,8	47,1	45,7
BELLEVILLE-SUR-SAÔNE	57,4	56	55,7	54,1	52,3	51	49,6	47,9	46,5
VILLEFRANCHE NORD	58,4	57	56,7	55,1	53,3	52	50,6	48,9	47,5
VILLEFRANCHE VILLE	58,7	57,3	57	55,4	53,6	52,3	50,9	49,2	47,8
VILLEFRANCHE LIMAS	60,4	59	58,7	57,1	55,3	54	52,6	50,9	49,5
VAL DE LOING/SOUPPES	44,5	43,1	42,8	41,2	39,4	38,1	36,7	35	33,6
VAL DE LOING BARRIERE	47,8	46,4	46,1	44,5	42,7	41,4	40	38,3	36,9
EMPRUNS	46,5	45,1	44,8	43,2	41,4	40,1	38,7	37	35,6
SAINT-GERMAIN LAXIS	45,6	44,2	43,9	42,3	40,5	39,2	37,8	36,1	34,7
CHATILLON-LABORDE	45,6	44,2	43,9	42,3	40,5	39,2	37,8	36,1	34,7
FORGES	43,5	42,1	41,8	40,2	38,4	37,1	35,7	34	32,6
MAROLLES-SUR-SEINE	43,5	42,1	41,8	40,2	38,4	37,1	35,7	34	32,6
VULAINES	43,6	42,2	41,9	40,3	38,5	37,2	35,8	34,1	32,7
TORVILLIERS	45,6	44,2	43,9	42,3	40,5	39,2	37,8	36,1	34,7
ST-THIBAULT	46	44,6	44,3	42,7	40,9	39,6	38,2	36,5	35,1
MAGNANT	47,3	45,9	45,6	44	42,2	40,9	39,5	37,8	36,4
VILLE-SOUS-LA-FERTÉ	48,2	46,8	46,5	44,9	43,1	41,8	40,4	38,7	37,3
CHAUMONT/SEMOUTIERS	49,3	47,9	47,6	46	44,2	42,9	41,5	39,8	38,4
THENNELIERES	46,9	45,5	45,2	43,6	41,8	40,5	39,1	37,4	36
CHARMONT-SOUS-BARBUISE	47,8	46,4	46,1	44,5	42,7	41,4	40	38,3	36,9
VALLÉE DE L’AUBE	48,6	47,2	46,9	45,3	43,5	42,2	40,8	39,1	37,7
SOMMESOUS	49,9	48,5	48,2	46,6	44,8	43,5	42,1	40,4	39
VATRY	50,1	48,7	48,4	46,8	45	43,7	42,3	40,6	39,2
MONT-CHOISY	51,4	50	49,7	48,1	46,3	45	43,6	41,9	40,5
ST-GIBRIEN	51,9	50,5	50,2	48,6	46,8	45,5	44,1	42,4	41
REIMS EST	54,4	53	52,7	51,1	49,3	48	46,6	44,9	43,5
REIMS SUD	54,1	52,7	52,4	50,8	49	47,7	46,3	44,6	43,2
REIMS OUEST	54,9	53,5	53,2	51,6	49,8	48,5	47,1	45,4	44
DORMANS	55,3	53,9	53,6	52	50,2	48,9	47,5	45,8	44,4
CHÂTEAU-THIERRY	56,3	54,9	54,6	53	51,2	49,9	48,5	46,8	45,4
MONTREUIL-REIMS	57,6	56,2	55,9	54,3	52,5	51,2	49,8	48,1	46,7
CHÂLONS/LA VEUVE	58,9	57,5	57,2	55,6	53,8	52,5	51,1	49,4	48
