X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	16,9	16,3	14,6	13,9	13,8	11,7	10,9	9,4	8,5	7	6,8	6,1	5,2	3,6	3,4	3,5	3,8	5,4	2	1,6
AGDE PEZENAS	21,1	21,1	21,1	21,1	21,1	21,1	21,1	21,1	21,1	21,1	18,4	17,8	16,1	15,4	15,3	13,3	12,4	10,8	10	8,5	8,3	7,8	6,8	5,2	4,9	5	5,3	7	3,6	3,5
PEAGE DE BEZIERS CABRIALS	22,2	22,2	22,2	22,2	22,2	22,2	22,2	22,2	22,2	22,2	19,6	18,8	17	16,4	16,3	14,3	13,5	11,9	11	9,4	9,3	8,8	7,7	6,1	5,8	5,9	6,2	8	4,5	4,3
BEZIERS OUEST	22,4	22,4	22,4	22,4	22,4	22,4	22,4	22,4	22,4	22,4	19,9	19	17,3	16,6	16,5	14,6	13,7	12,2	11,2	9,7	9,5	9	8	6,4	6	6,1	6,6	8,1	4,8	4,6
NARBONNE EST	24,2	24,2	24,2	24,2	24,2	24,2	24,2	24,2	24,2	24,2	21,4	20,8	19,1	18,4	18,3	16,3	15,5	14	13,2	11,5	11,3	10,8	9,7	8,2	7,9	8	8,4	10	6,7	6,4
NARBONNE SUD	24,3	24,3	24,3	24,3	24,3	24,3	24,3	24,3	24,3	24,3	21,5	20,9	19,2	18,5	18,4	16,4	15,6	14,1	13,3	11,6	11,4	10,9	9,8	8,3	8	8,1	8,5	10,1	6,8	6,6
SIGEAN	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	23,2	22,4	20,6	19,8	19,7	17,6	16,8	15,5	14,6	12,9	12,6	12,2	11,3	9,6	9,4	9,5	9,7	11,5	8,2	8
LEUCATE	26,1	26,1	26,1	26,1	26,1	26,1	26,1	26,1	26,1	26,1	23,5	22,9	21,1	20,3	20,2	18,2	17,2	15,9	15,1	13,3	13	12,6	11,6	9,9	9,6	9,7	10,2	11,8	8,6	8,4
PERPIGNAN NORD	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	25,6	25	23,3	22,4	22,3	20,4	19,6	18	17,2	15,5	15,2	14,9	13,9	12,3	12	12,1	12,4	14,1	10,8	10,6
PERPIGNAN SUD	28,6	28,6	28,6	28,6	28,6	28,6	28,6	28,6	28,6	28,6	25,7	25,2	23,5	22,6	22,4	20,5	19,7	18,1	17,3	15,6	15,3	15	14	12,4	12,1	12,2	12,5	14,2	10,9	10,7
