X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
JARNY	55,3	53,8	53,5	52	50,5	49,2	48	46,5	45,3
BEAUMONT	51,4	49,9	49,6	48,1	46,6	45,3	44,1	42,6	41,4
GYE	50,3	48,8	48,5	47	45,5	44,2	43	41,5	40,3
COLOMBEY-LES-BELLES	49,2	47,7	47,4	45,9	44,4	43,1	41,9	40,4	39,2
CHATENOIS SUD	48,6	47,1	46,8	45,3	43,8	42,5	41,3	39,8	38,6
BULGNEVILLE	48	46,5	46,2	44,7	43,2	41,9	40,7	39,2	38
ROBECOURT	47	45,5	45,2	43,7	42,2	40,9	39,7	38,2	37
MONTIGNY-LE-ROI	46	44,5	44,2	42,7	41,2	39,9	38,7	37,2	36
LANGRES NORD	46,6	45,1	44,8	43,3	41,8	40,5	39,3	37,8	36,6
LANGRES SUD	47,8	46,3	46	44,5	43	41,7	40,5	39	37,8
TIL-CHATEL	49,5	48	47,7	46,2	44,7	43,4	42,2	40,7	39,5
DIJON/ARC-SUR- TILLE	48,5	47	46,7	45,2	43,7	42,4	41,2	39,7	38,5
DIJON SUD	47,7	46,2	45,9	44,4	42,9	41,6	40,4	38,9	37,7
NUITS-ST-GEORGES	48,3	46,8	46,5	45	43,5	42,2	41	39,5	38,3
SEURRE	49,7	48,2	47,9	46,4	44,9	43,6	42,4	40,9	39,7
DÔLE	50,6	49,1	48,8	47,3	45,8	44,5	43,3	41,8	40,6
GENDREY	51,5	50	49,7	48,2	46,7	45,4	44,2	42,7	41,5
BESANÇON OUEST	51,6	50,1	49,8	48,3	46,8	45,5	44,3	42,8	41,6
BESANÇON NORD	52	50,5	50,2	48,7	47,2	45,9	44,7	43,2	42
BESANÇON EST	53,6	52,1	51,8	50,3	48,8	47,5	46,3	44,8	43,6
BAUME-LES-DAMES	54,3	52,8	52,5	51	49,5	48,2	47	45,5	44,3
L’ISLE-SUR-LE-DOUBS	57,1	55,6	55,3	53,8	52,3	51	49,8	48,3	47,1
SAINT-MAURICE	49,2	47,7	47,4	45,9	44,4	43,1	41,9	40,4	39,2
DIJON-CRIMOLOIS	49,6	48,1	47,8	46,3	44,8	43,5	42,3	40,8	39,6
SOIRANS	49,7	48,2	47,9	46,4	44,9	43,6	42,4	40,9	39,7
CHOISEY	51,4	49,9	49,6	48,1	46,6	45,3	44,1	42,6	41,4
BERSAILLIN	51,5	50	49,7	48,2	46,7	45,4	44,2	42,7	41,5
ARLAY	52,2	50,7	50,4	48,9	47,4	46,1	44,9	43,4	42,2
BEAUREPAIRE	53	51,5	51,2	49,7	48,2	46,9	45,7	44,2	43
LE MIROIR	53,8	52,3	52	50,5	49	47,7	46,5	45	43,8
BEAUPONT	54,7	53,2	52,9	51,4	49,9	48,6	47,4	45,9	44,7
VAL DE SAONE	51,3	49,8	49,5	48	46,5	45,2	44	42,5	41,3
MÂCON CENTRE	51,3	49,8	49,5	48	46,5	45,2	44	42,5	41,3
FEILLENS	51,3	49,8	49,5	48	46,5	45,2	44	42,5	41,3
REPLONGES	53,5	52	51,7	50,2	48,7	47,4	46,2	44,7	43,5
ST-GENIS	52,6	51,1	50,8	49,3	47,8	46,5	45,3	43,8	42,6
BOURG NORD	53,2	51,7	51,4	49,9	48,4	47,1	45,9	44,4	43,2
VIRIAT	53,8	52,3	52	50,5	49	47,7	46,5	45	43,8
BOURG SUD	56,3	54,8	54,5	53	51,5	50,2	49	47,5	46,3
ST-MARTIN-DU-FRESNE	56,6	55,1	54,8	53,3	51,8	50,5	49,3	47,8	46,6
SYLANS SUD	58,8	57,3	57	55,5	54	52,7	51,5	50	48,8
BELLEGARDE	59,7	58,2	57,9	56,4	54,9	53,6	52,4	50,9	49,7
ELOISE	62,3	60,8	60,5	59	57,5	56,2	55	53,5	52,3
VIRY	56,3	54,8	54,5	53	51,5	50,2	49	47,5	46,3
LA CROIX-CHALON	57,3	55,8	55,5	54	52,5	51,2	50	48,5	47,3
GROISSIAT	54,4	52,9	52,6	51,1	49,6	48,3	47,1	45,6	44,4
PONT-D’AIN	54,9	53,4	53,1	51,6	50,1	48,8	47,6	46,1	44,9
AMBÉRIEU	55,5	54	53,7	52,2	50,7	49,4	48,2	46,7	45,5
PÉROUGES	55,5	54	53,7	52,2	50,7	49,4	48,2	46,7	45,5
BALAN	56,5	55	54,7	53,2	51,7	50,4	49,2	47,7	46,5
LA BOISE/MONTUEL	57,1	55,6	55,3	53,8	52,3	51	49,8	48,3	47,1
BEYNOST	57	55,5	55,2	53,7	52,2	50,9	49,7	48,2	47
LA COTIERE	57,9	56,4	56,1	54,6	53,1	51,8	50,6	49,1	47,9
LA BOISSE	5
