X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
PAMIERS SUD	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
MONTGISCARD	28,6	28,6	28,6	28,6	28,6	28,6	28,6	28,6	28,6	28,6	26,2	25,9	24	23,5	23,4	21,6	20,9	19,8	18,5	17,5	17,4	16,7	15,8	14,4	14,2	14,3	14,6	15,9	13	12,9
PEAGE DE TOULOUSE SUD/OUEST	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	27,4	27,1	25,2	24,7	24,6	22,8	22,1	21	19,7	18,7	18,6	17,9	17	15,6	15,4	15,5	15,8	17,1	14,2	14,1
LE PALAYS	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	29,8	27,4	27,1	25,2	24,7	24,6	22,8	22,1	21	19,7	18,7	18,6	17,9	17	15,6	15,4	15,5	15,8	17,1	14,2	14,1
PEAGE DE TOULOUSE SUD/EST	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
MONTAUDRAN	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
LASBORDES	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
SOUPETARD	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
LA ROSERAIE	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
LA CROIX DAURADE	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
BORDEROUGE	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
LES IZARDS	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
SESQUIERES	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	30,2	27,8	27,5	25,6	25,1	25	23,2	22,5	21,4	20,1	19,1	19	18,3	17,4	16	15,8	15,9	16,2	17,5	14,6	14,5
