X	BELLEGARDE	ELOISE ANNECY	VIRY
BELLEGARDE	0	1	3,8
ELOISE ANNECY	1	0	2,8
VIRY	3,8	2,8	0
BARRIERE DE MONTREUIL AUX LIONS	36	37	39,8
MONTREUIL AUX LIONS	34,4	35,4	38,2
CHATEAU THIERRY	33,2	34,2	37
DORMANS	31,9	32,9	35,7
REIMS OUEST THILLOIS	30,9	31,9	34,7
REIMS NORD (ORMES)	30,4	31,4	34,2
REIMS SUD	29,8	30,8	33,6
REIMS TAISSY	29,9	30,9	33,7
CHALONS LA VEUVE	28,1	29,1	31,9
SAINT ETIENNE AU TEMPLE	28,3	29,3	32,1
SAINTE MENEHOULD	29,8	30,8	33,6
CLERMONT EN ARGONNE	30,7	31,7	34,5
VOIE SACREE	31,8	32,8	35,6
VERDUN	33,2	34,2	37
FRESNES EN WOEVRE	33,2	34,2	37
JARNY	34,3	35,3	38,1
METZ BEAUMONT	35,8	36,8	39,6
SAINT GIBRIEN	27,5	28,5	31,3
MONT CHOISY	27,1	28,1	30,9
VATRY	25,8	26,8	29,6
SOMMESOUS	25,6	26,6	29,4
VALLEE DE L AUBE	24,3	25,3	28,1
CHARMONT	23,5	24,5	27,3
THENNELIERES	23,3	24,3	27,1
