X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	7,1	25,7	24,1	22,7
AUXY	35,2	33,8	33,4	31,8	30,1	28,7	27,3	25,7	24,3
GONDREVILLE NORD	37,9	36,5	36,1	34,5	32,8	31,4	30	28,4	27
GONDREVILLE SUD	35,8	34,4	34	32,4	30,7	29,3	27,9	26,3	24,9
FONTENAY-SUR-LOING	38,2	36,8	36,4	34,8	33,1	31,7	30,3	28,7	27,3
ST-HILAIRE-LES-ANDRÉSIS	38,4	37	36,6	35	33,3	31,9	30,5	28,9	27,5
SAVIGNY-SUR-CLAIRIS	40,6	39,2	38,8	37,2	35,5	34,1	32,7	31,1	29,7
VILLENEUVE-DONDAGRE	41,3	39,9	39,5	37,9	36,2	34,8	33,4	31,8	30,4
ST-DENIS-LES-SENS	43,6	42,2	41,8	40,2	38,5	37,1	35,7	34,1	32,7
FLEURY EN BIERE	42,5	41,1	40,7	39,1	37,4	36	34,6	33	31,6
URY	42	40,6	40,2	38,6	36,9	35,5	34,1	32,5	31,1
FONTAINEBLEAU	42	40,6	40,2	38,6	36,9	35,5	34,1	32,5	31,1
NEMOURS	39,9	38,5	38,1	36,5	34,8	33,4	32	30,4	29
COURTENAY	40,9	39,5	39,1	37,5	35,8	34,4	33	31,4	30
JOIGNY	42,4	41	40,6	39	37,3	35,9	34,5	32,9	31,5
AUXERRE NORD	42,4	41	40,6	39	37,3	35,9	34,5	32,9	31,5
AUXERRE SUD	43,8	42,4	42	40,4	38,7	37,3	35,9	34,3	32,9
NITRY	45,3	43,9	43,5	41,9	40,2	38,8	37,4	35,8	34,4
AVALLON	46,3	44,9	44,5	42,9	41,2	39,8	38,4	36,8	35,4
BIERRE-LES-SEMUR	48,3	46,9	46,5	44,9	43,2	41,8	40,4	38,8	37,4
POUILLY-EN-AUXOIS	50,2	48,8	48,4	46,8	45,1	43,7	42,3	40,7	39,3
BEAUNE NORD	50,8	49,4	49	47,4	45,7	44,3	42,9	41,3	39,9
BEAUNE SUD	52,1	50,7	50,3	48,7	47	45,6	44,2	42,6	41,2
CHALON NORD	52,1	50,7	50,3	48,7	47	45,6	44,2	42,6	41,2
CHALON SUD	53,3	51,9	51,5	49,9	48,2	46,8	45,4	43,8	42,4
TOURNUS	54,9	53,5	53,1	51,5	49,8	48,4	47	45,4	44
MÂCON NORD	55,4	54	53,6	52	50,3	48,9	47,5	45,9	44,5
MÂCON SUD	56,2	54,8	54,4	52,8	51,1	49,7	48,3	46,7	45,3
BELLEVILLE-SUR-SAÔNE	57,2	55,8	55,4	53,8	52,1	50,7	49,3	47,7	46,3
VILLEFRANCHE NORD	57,5	56,1	55,7	54,1	52,4	51	49,6	48	46,6
VILLEFRANCHE VILLE	59,2	57,8	57,4	55,8	54,1	52,7	51,3	49,7	48,3
VILLEFRANCHE LIMAS	43,7	42,3	41,9	40,3	38,6	37,2	35,8	34,2	32,8
VAL DE LOING/SOUPPES	46,8	45,4	45	43,4	41,7	40,3	38,9	37,3	35,9
VAL DE LOING BARRIERE	45,5	44,1	43,7	42,1	40,4	39	37,6	36	34,6
EMPRUNS	44,6	43,2	42,8	41,2	39,5	38,1	36,7	35,1	33,7
SAINT-GERMAIN LAXIS	44,6	43,2	42,8	41,2	39,5	38,1	36,7	35,1	33,7
CHATILLON-LABORDE	42,7	41,3	40,9	39,3	37,6	36,2	34,8	33,2	31,8
FORGES	42,7	41,3	40,9	39,3	37,6	36,2	34,8	33,2	31,8
MAROLLES-SUR-SEINE	42,8	41,4	41	39,4	37,7	36,3	34,9	33,3	31,9
VULAINES	44,6	43,2	42,8	41,2	39,5	38,1	36,7	35,1	33,7
TORVILLIERS	45	43,6	43,2	41,6	39,9	38,5	37,1	35,5	34,1
ST-THIBAULT	46,3	44,9	44,5	42,9	41,2	39,8	38,4	36,8	35,4
MAGNANT	47,2	45,8	45,4	43,8	42,1	40,7	39,3	37,7	36,3
VILLE-SOUS-LA-FERTÉ	48,3	46,9	46,5	44,9	43,2	41,8	40,4	38,8	37,4
CHAUMONT/SEMOUTIERS	45,9	44,5	44,1	42,5	40,8	39,4	38	36,4	35
THENNELIERES	46,8	45,4	45	43,4	41,7	40,3	38,9	37,3	35,9
CHARMONT-SOUS-BARBUISE	47,6	46,2	45,8	44,2	42,5	41,1	39,7	38,1	36,7
VALLÉE DE L’AUBE	48,9	47,5	47,1	45,5	43,8	42,4	41	39,4	38
SOMMESOUS	49,1	47,7	47,3	45,7	44	42,6	41,2	39,6	38,2
VATRY	50,4	49	48,6	47	45,3	43,9	42,5	40,9	39,5
MONT-CHOISY	50,8	49,4	49	47,4	45,7	44,3	42,9	41,3	39,9
ST-GIBRIEN	53,2	51,8	51,4	49,8	48,1	46,7	45,3	43,7	42,3
REIMS EST	53,1	51,7	51,3	49,7	48	46,6	45,2	43,6	42,2
REIMS SUD	53,7	52,3	51,9	50,3	48,6	47,2	45,8	44,2	42,8
REIMS OUEST	54,2	52,8	52,4	50,8	49,1	47,7	46,3	44,7	43,3
DORMANS	55,2	53,8	53,4	51,8	50,1	48,7	47,3	45,7	44,3
CHÂTEAU-THIERRY	56,5	55,1	54,7	53,1	51,4	50	48,6	47	45,6
MONTREUIL-REIMS	57,7	56,3	55,9	54,3	52,6	51,2	49,8	48,2	46,8
CHÂLONS/LA VEUVE	59,3	57,9	57,5	55,9	54,2	52,8	51,4	49,8	48,4
CHÂLONS/MOURMELON	51,4	50	49,6	48	46,3	44,9	43,5	41,9	40,5
ST-ETIENNE-AU-TEMPLE	51,6	50,2	49,8	48,2	46,5	45,1	43,7	42,1	40,7
ST-GERMAIN-LAXIS	51,6	50,2	49,8	48,2	46,5	45,1	43,7	42,1	40,7
BEAUNE SUD	53,1	51,7	51,3	49,7	48	46,6	45,2	43,6	42,2
STE-MENEHOULD	54	52,6	52,2	50,6	48,9	47,5	46,1	44,5	43,1
CLERMONT-EN-ARGONNE	55,1	53,7	53,3	51,7	50	48,6	47,2	45,6	44,2
VOIE SACRÉE	56,5	55,1	54,7	53,1	51,4	50	48,6	47	45,6
VERDUN	56,5	55,1	54,7	53,1	51,4	50	48,6	47	45,6
FRESNES-EN-WOEVRE	57,6	56,2	55,8	54,2	52,5	51,1	49,7	48,1	46,7
JARNY	59,1	57,7	57,3	55,7	54	52,6	51,2	49,6	48,2
BEAUMONT	55,4	54	53,6	52	50,3	48,9	47,5	45,9	44,5
GYE	54,1	52,7	52,3	50,7	49	47,6	46,2	44,6	43,2
COLOMBEY-LES-BELLES	53	51,6	51,2	49,6	47,9	46,5	45,1	43,5	42,1
CHATENOIS SUD	52,4	51	50,6	49	47,3	45,9	44,5	42,9	41,5
BULGNEVILLE	51,7	50,3	49,9	48,3	46,6	45,2	43,8	42,2	40,8
ROBECOURT	50,6	49,2	48,8	47,2	45,5	44,1	42,7	41,1	39,7
MONTIGNY-LE-ROI	49,5	48,1	47,7	46,1	44,4	43	41,6	40	38,6
LANGRES NORD	50,2	48,8	48,4	46,8	45,1	43,7	42,3	40,7	39,3
LANGRES SUD	51,5	50,1	49,7	48,1	46,4	45	43,6	42	40,6
TIL-CHATEL	53,3	51,9	51,5	49,9	48,2	46,8	45,4	43,8	42,4
DIJON/ARC-SUR- TILLE	52,2	50,8	50,4	48,8	47,1	45,7	44,3	42,7	41,3
DIJON SUD	51,3	49,9	49,5	47,9	46,2	44,8	43,4	41,8	40,4
NUITS-ST-GEORGES	52	50,6	50,2	48,6	46,9	45,5	44,1	42,5	41,1
SEURRE	53,5	52,1	51,7	50,1	48,4	47	45,6	44	42,6
DÔLE	54,4	53	52,6	51	49,3	47,9	46,5	44,9	43,5
GENDREY	55,5	54,1	53,7	52,1	50,4	49	47,6	46	44,6
BESANÇON OUEST	55,6	54,2	53,8	52,2	50,5	49,1	47,7	46,1	44,7
BESANÇON NORD	56	54,6	54,2	52,6	50,9	49,5	48,1	46,5	45,1
