X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
BESANÇON EST	57,7	56,3	55,9	54,3	52,6	51,2	49,8	48,2	46,8
BAUME-LES-DAMES	58,5	57,1	56,7	55,1	53,4	52	50,6	49	47,6
L’ISLE-SUR-LE-DOUBS	61,6	60,2	59,8	58,2	56,5	55,1	53,7	52,1	50,7
SAINT-MAURICE	53	51,6	51,2	49,6	47,9	46,5	45,1	43,5	42,1
DIJON-CRIMOLOIS	53,4	52	51,6	50	48,3	46,9	45,5	43,9	42,5
SOIRANS	53,5	52,1	51,7	50,1	48,4	47	45,6	44	42,6
CHOISEY	55,4	54	53,6	52	50,3	48,9	47,5	45,9	44,5
BERSAILLIN	55,5	54,1	53,7	52,1	50,4	49	47,6	46	44,6
ARLAY	56,2	54,8	54,4	52,8	51,1	49,7	48,3	46,7	45,3
BEAUREPAIRE	57,1	55,7	55,3	53,7	52	50,6	49,2	47,6	46,2
LE MIROIR	58	56,6	56,2	54,6	52,9	51,5	50,1	48,5	47,1
BEAUPONT	58,9	57,5	57,1	55,5	53,8	52,4	51	49,4	48
VAL DE SAONE	55,3	53,9	53,5	51,9	50,2	48,8	47,4	45,8	44,4
MÂCON CENTRE	55,3	53,9	53,5	51,9	50,2	48,8	47,4	45,8	44,4
FEILLENS	55,3	53,9	53,5	51,9	50,2	48,8	47,4	45,8	44,4
REPLONGES	57,6	56,2	55,8	54,2	52,5	51,1	49,7	48,1	46,7
ST-GENIS	56,6	55,2	54,8	53,2	51,5	50,1	48,7	47,1	45,7
BOURG NORD	57,3	55,9	55,5	53,9	52,2	50,8	49,4	47,8	46,4
VIRIAT	58	56,6	56,2	54,6	52,9	51,5	50,1	48,5	47,1
BOURG SUD	60,6	59,2	58,8	57,2	55,5	54,1	52,7	51,1	49,7
ST-MARTIN-DU-FRESNE	60,9	59,5	59,1	57,5	55,8	54,4	53	51,4	50
SYLANS SUD	63,4	62	61,6	60	58,3	56,9	55,5	53,9	52,5
BELLEGARDE	64,4	63	62,6	61	59,3	57,9	56,5	54,9	53,5
ELOISE	67,2	65,8	65,4	63,8	62,1	60,7	59,3	57,7	56,3
VIRY	60,6	59,2	58,8	57,2	55,5	54,1	52,7	51,1	49,7
LA CROIX-CHALON	61,8	60,4	60	58,4	56,7	55,3	53,9	52,3	50,9
GROISSIAT	58,6	57,2	56,8	55,2	53,5	52,1	50,7	49,1	47,7
PONT-D’AIN	59,2	57,8	57,4	55,8	54,1	52,7	51,3	49,7	48,3
AMBÉRIEU	59,8	58,4	58	56,4	54,7	53,3	51,9	50,3	48,9
PÉROUGES	59,8	58,4	58	56,4	54,7	53,3	51,9	50,3	48,9
BALAN	60,8	59,4	59	57,4	55,7	54,3	52,9	51,3	49,9
LA BOISE/MONTUEL	61,6	60,2	59,8	58,2	56,5	55,1	53,7	52,1	50,7
BEYNOST	61,5	60,1	59,7	58,1	56,4	55	53,6	52	50,6
LA COTIERE	62,4	61	60,6	59	57,3	55,9	54,5	52,9	51,5
LA BOISSE	5
