null	CHOISEY	84.9	48.2
null	SEURRE	82.6	46.8
null	FEILLENS	87.0	49.8
null	REPLONGES	87.0	49.8
null	BOURG NORD	89.5	51.1
null	VIRIAT	89.6	51.7
null	BOURG SUD	90.6	52.3
null	ST MARTIN-DU-FRESNE	95.0	54.8
null	SYLANS	95.6	55.1
null	SAINT GENIS	91.1	52.0
null	BEYNOST	96.5	55.6
null	BALAN	94.2	54.0
null	PEROUGES	94.2	54.0
null	LA BOISSE	97.9	56.4
null	AMBERIEU	93.3	53.4
null	PONT D AIN	91.9	52.9
null	LA CROIX-CHALON	95.2	54.8
null	DIJON-ARC S/TILLE	84.5	48.0
null	TIL CHATEL	81.9	46.3
null	LANGRES SUD	79.6	45.1
null	LANGRES NORD	78.9	44.5
null	MONTIGNY-LE-ROI	80.5	45.5
null	GROISSIAT	96.9	55.8
null	BULGNEVILLE	83.5	47.1
null	CHATENOIS	83.8	47.7
null	COLOMBEY-LES-BELLES	86.4	48.8
null	GYE	88.5	49.9
null	CHAUMONT-SEMOUTIERS	76.9	43.3
null	VILLE SOUS LAFERTE	75.3	42.4
null	MAGNANT	73.9	41.5
null	SAINT THIBAULT	71.4	40.4
null	TORVILLIERS	70.9	40.0
null	VULAINES	68.9	38.3
null	MAROLLES-SUR-SEINE	68.7	38.2
null	FORGES	68.7	38.2
null	CHATILLON-LABORDE	70.9	40.0
null	ST-GERMAIN-LAXIS	70.9	40.0
null	LES EPRUNES	71.9	40.8
null	VILLENEUVE-DONDAGRE	64.8	36.2
null	THENNELIERES	72.6	41.1
null	ST-DENIS-LES-SENS	65.9	36.8
null	VILLEFRANCHE-NORD	90.2	51.6
null	ARLAY	88.1	50.0
null	BERSAILLIN	87.9	49.9
null	BEAUREPAIRE	89.2	50.7
null	LE MIROIR	90.2	51.5
null	BEAUPONT	91.1	52.3
null	VAL DE SAONE	93.6	53.2
null	LA BOISSE - MONTLUEL	95.7	55.0
null	LA COTIERE	96.4	55.5
null	ROBECOURT	82.0	46.5
null	BELLEGARDE	99.8	57.3
null	ELOISE	1.1	58.2
null	VIRY	5.1	60.8
null	DEUX CHAISES	20.3	11.5
null	ST AMAND-MONTROND	24.3	14.3
null	FORET DE TRONCAIS	21.7	12.9
null	MONTLUCON	21.4	12.7
null	MONTMARAULT	19.3	11.0
null	GANNAT	17.4	9.9
null	COMBRONDE	15.5	9.0
null	RIOM	16.1	9.3
null	GERZAT-VILLE	16.6	9.5
null	CLERMONT-BARRIERE	18.0	10.4
null	FLEURY-EN-BIERE	68.7	38.6
null	URY	67.2	37.7
null	FONTAINEBLEAU	66.4	37.2
null	NEMOURS	66.4	37.2
null	COURTENAY	63.1	35.3
null	JOIGNY	64.6	36.1
null	AUXERRE NORD	67.3	37.6
null	AUXERRE SUD	67.3	37.6
null	NITRY	69.2	38.9
null	AVALLON	70.9	40.3
null	BIERRE-LES-SEMUR	72.9	41.2
null	POUILLY-EN-AUXOIS	76.2	43.0
null	BEAUNE SUD	79.9	45.4
null	CHALON NORD	82.2	46.6
null	CHALON SUD	82.2	46.6
null	TOURNUS	83.6	47.7
null	MACON NORD	86.2	49.1
null	MACON SUD	87.1	49.6
null	BELLEVILLE S/SAONE	88.6	50.4
null	VILLEFRANCHE-VILLE	90.0	51.6
null	VILLEFRANCHE-LIMAS	93.2	53.1
null	NUITS-ST-GEORGES	80.7	45.9
null	DIJON SUD	82.4	46.7
null	DIJON-CRIMOLOIS	83.0	47.4
