Autoroute entrée	Péage entrée	Classe 1	Classe 5
LIMITE APRR / ATMB	CHALONS / LA VEUVE (METZ)	42.9	25.9
LIMITE APRR / ATMB	ST ETIENNE AU TEMPLE	42.9	25.9
LIMITE APRR / ATMB	ST MENEHOULD	44.9	27.4
LIMITE APRR / ATMB	VOIE SACREE	48.4	29.2
LIMITE APRR / ATMB	VERDUN	50.7	30.6
LIMITE APRR / ATMB	FRESNES EN WOEVRE	50.7	30.6
LIMITE APRR / ATMB	JARNY	52.2	31.6
LIMITE APRR / ATMB	METZ (péage de Beaumont)	55.4	32.9
LIMITE APRR / ATMB	CLERMONT EN ARGONNE	46.6	28.2
SAINT GENIS	MONTREUIL AUX LIONS	47.8	28.2
SAINT GENIS	MONTREUIL (REIMS)	45.8	26.9
SAINT GENIS	CHATEAU-THIERRY	43.5	25.8
SAINT GENIS	DORMANS	41.2	24.5
SAINT GENIS	REIMS SUD	38.6	22.8
SAINT GENIS	CHALONS / LA VEUVE (REIMS)	35.5	21.2
SAINT GENIS	CHALONS / LA VEUVE (METZ)	35.5	21.6
SAINT GENIS	ST ETIENNE AU TEMPLE	35.5	21.6
SAINT GENIS	ST MENEHOULD	37.5	23.1
SAINT GENIS	VOIE SACREE	41.0	24.9
SAINT GENIS	VERDUN	43.3	26.3
SAINT GENIS	FRESNES EN WOEVRE	43.3	26.3
SAINT GENIS	JARNY	44.8	27.3
SAINT GENIS	METZ (péage de Beaumont)	48.0	28.6
SAINT GENIS	CLERMONT EN ARGONNE	39.2	23.9
BELLEGARDE	MONTREUIL AUX LIONS	56.3	33.2
BELLEGARDE	MONTREUIL (REIMS)	54.3	31.9
BELLEGARDE	CHATEAU-THIERRY	52.0	30.8
BELLEGARDE	DORMANS	49.7	29.5
BELLEGARDE	REIMS SUD	47.1	27.8
BELLEGARDE	CHALONS / LA VEUVE (REIMS)	44.0	26.2
BELLEGARDE	CHALONS / LA VEUVE (METZ)	44.0	26.6
BELLEGARDE	ST ETIENNE AU TEMPLE	44.0	26.6
BELLEGARDE	ST MENEHOULD	46.0	28.1
BELLEGARDE	VOIE SACREE	49.5	29.9
BELLEGARDE	VERDUN	51.8	31.3
BELLEGARDE	FRESNES EN WOEVRE	51.8	31.3
BELLEGARDE	JARNY	53.3	32.3
BELLEGARDE	METZ (péage de Beaumont)	56.5	33.6
BELLEGARDE	CLERMONT EN ARGONNE	47.7	28.9
ELOISE	MONTREUIL AUX LIONS	57.5	34.1
ELOISE	MONTREUIL (REIMS)	55.5	32.8
ELOISE	CHATEAU-THIERRY	53.2	31.7
ELOISE	DORMANS	50.9	30.4
ELOISE	REIMS SUD	48.3	28.7
ELOISE	CHALONS / LA VEUVE (REIMS)	45.2	27.1
ELOISE	CHALONS / LA VEUVE (METZ)	45.2	27.5
ELOISE	ST ETIENNE AU TEMPLE	45.2	27.5
ELOISE	ST MENEHOULD	47.2	29.0
ELOISE	VOIE SACREE	50.7	30.8
ELOISE	VERDUN	53.0	32.2
ELOISE	FRESNES EN WOEVRE	53.0	32.2
ELOISE	JARNY	54.5	33.2
ELOISE	METZ (péage de Beaumont)	57.7	34.5
ELOISE	CLERMONT EN ARGONNE	48.9	29.8
VIRY	MONTREUIL AUX LIONS	61.3	36.5
VIRY	MONTREUIL (REIMS)	87.7	59.3
VIRY	CHATEAU-THIERRY	57.0	34.1
VIRY	DORMANS	54.7	32.8
VIRY	REIMS SUD	52.1	31.1
VIRY	CHALONS / LA VEUVE (REIMS)	49.0	29.5
VIRY	CHALONS / LA VEUVE (METZ)	49.0	29.9
VIRY	ST ETIENNE AU TEMPLE	49.0	29.9
VIRY	ST MENEHOULD	51.0	31.4
VIRY	VOIE SACREE	54.5	33.2
VIRY	VERDUN	56.8	34.6
VIRY	FRESNES EN WOEVRE	56.8	34.6
VIRY	JARNY	58.3	35.6
VIRY	METZ (péage de Beaumont)	61.5	36.9
VIRY	CLERMONT EN ARGONNE	52.7	32.2
VIRY	VIRY	56.8	34.6
