Moulis
0	Parages
0	0	La Molle
0	0	0	Sapiac
0	0	0	0	Beausoleil
0	0	0	0	0	Chaumes
0	0	0	0	0	0	ZI Nord
0	0	0	0	0	0	0	Montauban Nord
0	0	0	0	0	0	0	0	Péage de Montauban Nord
1,6	1,6	1,6	1,6	1,6	1,6	1,6	1,6	1,6	Caussade
3,8	3,8	3,8	3,8	3,8	3,8	3,8	3,8	3,8	2,1	Cahors sud
6,5	6,5	6,5	6,5	6,5	6,5	6,5	6,5	6,5	4,6	2,2	Cahors nord
8,9	8,9	8,9	8,9	8,9	8,9	8,9	8,9	8,9	6,7	4,5	2,1	Labastide Murat
11,5	11,5	11,5	11,5	11,5	11,5	11,5	11,5	11,5	9	6,9	4,6	2,5	Souillac
13,6	13,6	13,6	13,6	13,6	13,6	13,6	13,6	13,6	11,6	9,2	6,9	4,9	2,1	Péage de Gignac
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Martel
13,6	13,6	13,6	13,6	13,6	13,6	13,6	13,6	13,6	11,6	9,2	6,9	4,9	2,1	0	0,7	Nespouls
