PARIS / NOISY-LE-GRAND (peage de Coutevroult)
0	COUTEVROULT																																				
2,3	0	MEAUX (A140) / CRECY																																			
3,7	1,4	0	ST-JEAN-LES-DEUX-JUMEAUX																																		
4,2	1,9	0	0	MONTREUIL-AUX-LIONS
6,5	4,2	1,9	1,9	1,9	CHATEAU-THIERRY
8,7	6,4	4,2	4,2	4,2	2,1	DORMANS																															
11,2	8,9	6,5	6,5	6,5	4,5	2,1	REIMS OUEST (THILLOIS)
11,2	8,9	6,5	6,5	6,5	4,4	2,1	0	REIMS NORD (ORMES)
10,8	8,5	6,3	6,3	6,3	4,2	2,1	0,9	0,4	REIMS SUD																												
12,6	10,3	8,2	8,2	8,2	6,1	3,7	2,6	2,1	0,9	REIMS EST (TAISSY)
14,3	12	9,8	9,8	9,8	8	5,9	4,8	4,4	3,1	3,4	SAINT-GIBRIEN
14,7	12,4	10,5	10,5	10,5	8,5	6,6	5,3	4,8	3,9	4,1	0,8	MONT-CHOISY																									
15,4	13,1	11,2	11,2	11,2	9,3	7,3	6,3	5,6	4,5	4,6	1,8	1,3	VATRY																								
16	13,7	11,8	11,8	11,8	9,9	7,9	6,9	6,5	5,1	5,3	2	1,7	0,3	SOMMESOUS																							
18,4	16,1	13,8	13,8	13,8	12	9,9	8,9	8,5	7,3	7,5	4,2	3,5	2	1,8	VALLEE DE L'AUBE																						
21,4	19,1	17,1	17,1	17,1	14,8	12,5	11,7	11,1	9,9	10,1	5,7	4,9	3,5	3	1,1	CHARMONT-SOUS-BARBUISE																					
14,4	12,1	9,7	9,7	9,7	7,7	5,4	4,2	3,7	2,5	2,7	1,1	1,4	2,7	3,1	4,9	6,8	CHALONS-EN-CHAMPAGNE / LA VEUVE
14,7	12,4	10,2	10,2	10,2	8,2	5,9	4,7	4,2	3	3,1	1,6	2,1	3,3	3,6	5,2	6,8	0,8	SAINT-ETIENNE-AU-TEMPLE																			
16,8	14,5	12,5	12,5	12,5	10,3	8,1	6,9	6,3	5,1	5,4	4,3	4,4	5,8	6,2	7,7	8,8	2,4	2	SAINTE-MENEHOULD																		
18,4	16,1	13,9	13,9	13,9	12,1	9,6	8,5	7,9	6,6	7	5,3	5,9	6,8	7,6	8,8	10,5	3,8	3,3	1,2	CLERMONT-EN-ARGONNE
20	17,7	15,4	15,4	15,4	13,3	10,8	9,8	9,3	8,1	8,3	6,8	7,1	7,7	9	10,1	12,3	4,9	4,4	2	0,9	VOIE SACREE
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	VERDUN															
22	19,7	17,8	17,8	17,8	15,5	12,9	12,1	11,5	10,2	10,3	8,4	9,3	9,7	10,8	12,3	14,6	6,7	6,2	4,2	2,9	2	1,3	FRESNES-EN-WOEVRE														
23,5	21,2	18,9	18,9	18,9	17,1	14,5	13,3	12,9	11,7	11,7	10,5	11	11,2	12,4	13,2	16,1	8,6	7,9	6,1	4,6	3,5	2,9	1,7	JARNY A4													
26	23,7	22	22	22	20	17,6	16,9	15,9	14,7	14,5	12,6	13,3	13,5	15,2	16	19,3	11,4	11,1	9	7,2	6,1	5,2	3,6	1,8	SAINTE-MARIE-AUX-CHENES
26	23,7	22	22	22	20	17,6	16,9	15,9	14,7	14,5	12,6	13,3	13,5	15,2	16	19,3	11,4	11,1	9	7,2	6,1	5,2	3,6	1,8	1,5	METZ
27,3	25	23,3	23,3	23,3	21,3	18,9	18,2	17,2	16	15,8	13,9	14,6	14,8	16,5	17,3	20,6	12,7	12,4	10,3	8,5	7,4	6,5	4,9	3,1	2,8	1,3	BOULAY										
30,6	28,3	26,6	26,6	26,6	24,6	22,2	21,5	20,5	19,3	19,1	17,2	17,9	18,1	19,8	20,6	23,9	16	15,7	13,6	11,8	10,7	9,8	8,2	6,4	6,1	4,6	4,6	SAINT-AVOLD									
30,6	28,3	26,6	26,6	26,6	24,6	22,2	21,5	20,5	19,3	19,1	17,2	17,9	18,1	19,8	20,6	23,9	16	15,7	13,6	11,8	10,7	9,8	8,2	6,4	6,1	4,6	4,6	0,7	FREYMING-MERLEBACH (A320)								
31	28,7	27	27	27	25	22,6	21,9	20,9	19,7	19,5	17,6	18,3	18,5	20,2	21	24,3	16,4	16,1	14	12,2	11,1	10,2	8,6	6,8	6,5	5	5	1,1	0,4	FAREBERSVILLER							
31,6	29,3	27,6	27,6	27,6	25,6	23,2	22,5	21,5	20,3	20,1	18,2	18,9	19,1	20,8	21,6	24,9	17	16,7	14,6	12,8	11,7	10,8	9,2	7,4	7,1	5,6	5,6	1,7	1	1	PUTTELANGE						
32,1	29,8	28,1	28,1	28,1	26,1	23,7	23	22	20,8	20,6	18,7	19,4	19,6	21,3	22,1	25,4	17,5	17,2	15,1	13,3	12,2	11,3	9,7	7,9	7,6	6,1	6,1	2,2	1,5	1,5	0	SARREGUEMINES					
33,1	30,8	29,1	29,1	29,1	27,1	24,7	24	23	21,8	21,6	19,7	20,4	20,6	22,3	23,1	26,4	18,5	18,2	16,1	14,3	13,2	12,3	10,7	8,9	8,6	7,1	7,1	3,2	2,5	2,5	0	1,1	SARRE-UNION				
