MANZAT
1	VULCANIA-BROMONT
A	ST JULIEN / SANCY
8	USSEL EST
5	USSEL OUEST
A	EGLETONS
7	TULLE EST
1	TULLE NORD
A	ST GERMAIN LES VERGNES
