MANZAT
1,1	VULCANIA-BROMONT
2,8	1,3	ST JULIEN / SANCY
4,4	3,2	1,4	USSEL EST
5,5	4,2	3,2	1	USSEL OUEST
7,3	5,7	4,7	2,7	1,4	EGLETONS
8,7	7,7	6,4	3,8	2,9	1	TULLE EST
9,1	8,1	6,8	4,5	3,6	1,4	0,5	TULLE NORD
10,5	9,5	8,6	6	4,9	2,8	1,3	0,9	ST GERMAIN LES VERGNES
