La Fouillouse
0	Andrézieux-Bouthéon sud
0	0	Andrézieux-Bouthéon nord
0	0	0	Péage de Veauchette
0,7	0	0,7	0,7	Montbrison Montrond
1,4	0	1,4	1,4	0,6	Feurs Lentilly
5,6	0	5,6	5,6	4,8	4,1	Tour de Salvagny
5,6	0	5,6	5,6	4,8	4,1	0	Lentilly
5,6	0	5,6	5,6	4,8	4,1	0	0	Pont de Dorieux
5,6	0	5,6	5,6	4,8	4,1	0	0	0	L’Arbresle
0	0	0	0	0	0	1	1	1	1	Tarare est(péage en système ouvert)
5,6	0	5,6	5,6	4,8	4,1	0	0	0	0	0	BARRIERE DE PEAGE DE SAINT-ROMAIN-DE-POPEY
4,3	0	4,3	4,3	3,6	2,8	0	0	0	0	0	0	Tarare est(péage en système fermé)
3,9	0	3,9	3,9	3	2,3	1,6	1,6	1,6	1,6	0	1,6	0,5	Tarare ouest
2,4	0	2,4	2,4	1,4	0,7	3,5	3,5	3,5	3,5	0	3,5	2,2	1,3	Balbigny
2,2	0	2,2	2,2	1,4	0,8	4,2	4,2	4,2	4,2	0	4,2	2,8	2,4	0,7	Saint-Germain-Laval
3,2	0	3,2	3,2	2,7	2,1	5,5	5,5	5,5	5,5	0	5,5	4,1	3,7	1,9	1,2	Noirétable
4,3	0	4,3	4,3	3,7	3	6,3	6,3	6,3	6,3	0	6,3	4,9	4,5	2,9	2	0,8	Thiers est
5,2	0	5,2	5,2	4,6	3,7	7,1	7,1	7,1	7,1	0	7,1	5,5	5,1	3,4	2,5	1,6	0,7	Thiers ouest
5,3	0	5,3	5,3	4,8	4	7,5	7,5	7,5	7,5	0	7,5	6	5,6	3,8	3,2	2	1	0,5	Lezoux
6,3	0	6,3	6,3	6,2	5,6	9,5	9,5	9,5	9,5	0	9,5	7,9	7,6	5,5	4,5	3,1	2,1	1,5	1	BARRIERE DE PEAGE DE MARTRES-D'ARTIERE
6,3	0	6,3	6,3	6,2	5,6	9,5	9,5	9,5	9,5	0	9,5	7,9	7,6	5,5	4,5	3,1	2,1	1,5	1	0	Clermont-Ferrand
6,3	0	6,3	6,3	6,2	5,6	9,5	9,5	9,5	9,5	0	9,5	7,9	7,6	5,5	4,5	3,1	2,1	1,5	1	0	0	Pont du Château
