MANZAT								
1,1	VULCANIA-BROMONT
2,5	1,3	ST JULIEN / SANCY
3,9	2,6	1,4	USSEL EST
4,9	3,7	2,7	1	USSEL OUEST
6,5	5	4	2,5	1,4	EGLETONS
7,7	6,7	5,3	3,4	2,5	1	TULLE EST
8	7	5,7	4	3,1	1,4	0,5	TULLE NORD
9,5	8,3	7,3	5,1	4,2	2,6	1,3	0,9	ST GERMAIN LES VERGNES
