BOULOGNE EST (péage d'Herquelingue) 
0,5	BOULOGNE SUD
1,0	0,6	NEUFCHÂTEL-HARDELOT
2,0	1,1	0,7	ETAPLES / LE TOUQUET
2,9	2,1	1,5	0,7	BERCK
4,4	3,1	2,6	1,9	1,0	LA CÔTE PICARDE A16
5,6	4,9	3,9	3,0	2,5	1,0	ABBEVILLE NORD
6,1	4,9	4,2	4,0	2,9	1,5	0,5	ABBEVILLE EST
6,8	5,8	4,6	4,5	4,0	2,4	1,4	1,0	VALLÉE DE LA NIÈVRE
8,4	6,8	6,2	5,9	5,1	4,1	2,5	2,1	1,2	AMIENS NORD
8,4	6,8	6,4	5,9	5,1	4,1	2,8	2,4	1,3	0,3	AMIENS OUEST
8,6	6,9	6,4	5,9	5,5	4,2	2,9	2,5	1,4	0,6	0,2	SALOUËL
9,1	8,4	7,0	6,5	5,7	4,6	3,8	3,1	1,7	0,8	0,7	0,6	AMIENS SUD (péage de Dury) 
9,2	7,6	6,8	6,6	6,1	4,9	3,9	3,1	2,3	1,0	0,8	0,6	0,8	ESSERTAUX
9,6	8,5	8,2	7,9	7,0	5,5	4,6	4,1	2,9	1,9	1,7	1,5	1,8	0,7	HARDIVILLERS
11,8	10,1	9,4	9,3	8,6	7,0	6,1	5,3	4,4	3,0	2,9	2,8	3,0	1,8	0,9	BEAUVAIS NORD
12,1	10,2	9,7	9,3	8,6	7,2	6,4	5,5	4,6	3,8	3,6	3,1	3,7	2,4	1,3	0,2	BEAUVAIS CENTRE
12,8	11,4	10,2	10,2	9,4	8,5	7,5	6,5	5,7	4,9	4,2	4,1	4,4	3,2	2,5	1,7	1,2	MÉRU
15,2	13,0	13,0	12,8	11,7	10,1	9,5	8,9	7,2	6,2	5,8	5,7	5,9	5,0	4,2	3,2	2,4	1,2	L'ISLE-ADAM (péage d'Amblainville) 
8,6	7,4	6,8	6,4	5,7	4,8	3,6	3,1	2,4	1,3	0,9	0,8	1,7	1,5	2,6	3,6	4,0	4,8	6,2	POIX-DE-PICARDIE A29
10,0	8,4	8,0	7,3	6,4	5,7	4,4	4,1	3,5	2,6	2,1	2,1	2,9	2,8	3,7	4,9	5,1	5,7	8,0	0,8	AUMALE
11,6	10,0	8,9	8,7	8,3	6,7	5,8	5,4	4,4	3,9	3,6	3,3	4,5	4,0	4,9	5,8	6,1	7,2	8,8	2,0	0,7	NEUFCHÂTEL-EN-BRAY (A28) 
