VENDARGUES
0	MONTPELLIER EST
0	0	MONTPELLIER SUD
0	0	0	MONTPELLIER OUEST
0	0	0	0	SAINT-JEAN-DE-VEDAS
0	0	0	0	0	PEAGE DE MONTPELLIER SAINT-JEAN
0,8	0,8	0,8	0,8	0,8	0,8	SÈTE
2,1	2,1	2,1	2,1	2,1	2,1	1,1	AGDE PEZENAS
2,9	2,9	2,9	2,9	2,9	2,9	1,8	0,6	PEAGE DE BEZIERS-CABRIALS
3,2	3,2	3,2	3,2	3,2	3,2	2	0,8	0,4	BEZIERS OUEST
4,8	4,8	4,8	4,8	4,8	4,8	3,4	1,9	1,4	1,1	NARBONNE EST
4,9	4,9	4,9	4,9	4,9	4,9	3,5	2	1,5	1,2	0,3	NARBONNE SUD
6	6	6	6	6	6	4,9	3,3	2,4	2	1	0,9	SIGEAN
6,5	6,5	6,5	6,5	6,5	6,5	5,3	3,9	3,5	2,4	1,5	1,3	0,5	LEUCATE
8,4	8,4	8,4	8,4	8,4	8,4	6,8	5,5	5	4,3	2,9	2,5	1,6	1,1	PERPIGNAN NORD
8,5	8,5	8,5	8,5	8,5	8,5	7,2	5,6	5,1	4,8	3,5	3,4	2,1	1,8	0,6	PERPIGNAN SUD
9,2	9,2	9,2	9,2	9,2	9,2	8,6	7,2	6,3	5,6	5	4,4	3,3	3	1,5	1,5	LE BOULOU
10,4	10,4	10,4	10,4	10,4	10,4	8,8	7,7	7,4	6,2	5,5	4,9	4	3,5	2	1,4	0	PEAGE DU PERTHUS
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LE BOULOU (OUVERT)
10,4	10,4	10,4	10,4	10,4	10,4	8,8	7,7	7,4	6,2	5,5	4,9	4	3,5	2	1,4	0	0	0,4	FRONTIERE ESPAGNOLE
6,2	6,2	6,2	6,2	6,2	6,2	5	3,3	2,5	2,1	1,5	1,1	1,6	2	3,9	4,4	5,2	5,8	0	5,8	LEZIGNAN
8,2	8,2	8,2	8,2	8,2	8,2	6,8	5,4	4,6	4,2	3,4	2,5	3,7	4,3	5,6	6	7,5	8,1	0	8,1	1,3	CARCASSONNE EST
8,6	8,6	8,6	8,6	8,6	8,6	7,3	5,8	5,1	4,7	3,8	3,1	4,4	4,8	5,7	6,9	8,1	8,5	0	8,5	1,9	0,5	CARCASSONNE OUEST
9,8	9,8	9,8	9,8	9,8	9,8	8,8	7,2	6,2	5,8	5	4,3	5,5	5,9	7,3	8,2	9,2	9,6	0	9,6	3	1,4	0,9	BRAM
10,6	10,6	10,6	10,6	10,6	10,6	8,9	7,8	7	6,4	5,6	4,9	5,7	6,5	8,2	8,4	9,4	10,1	0	10,1	3,7	2,1	1,6	0,8	CASTELNAUDARY
11,5	11,5	11,5	11,5	11,5	11,5	10,6	9	8,3	7,7	7,3	6,4	7,4	7,8	9,1	10	10,7	11,5	0	11,5	5	3,4	3	1,9	1,2	VILLEFRANCHE-DE-LAURAGAIS
12	12	12	12	12	12	10,9	9,5	8,8	8,1	7,4	6,9	7,9	8,2	9,6	10,1	10,9	12	0	12	5,4	4,2	3,7	2,5	1,7	0,5	NAILOUX
13,3	13,3	13,3	13,3	13,3	13,3	12	10,8	9,8	9,1	8,5	7,9	8,8	9,2	10,8	11	12,4	13,1	0	13,1	6,8	5,2	4,8	3,9	3,3	1,6	1	MAZERES-SAVERDUN
13,8	13,8	13,8	13,8	13,8	13,8	12,4	11,1	10,5	10,1	8,7	8,4	8,9	10,1	11,1	11,9	12,8	13,6	0	13,6	7,4	5,6	5,1	4,4	3,8	2,5	1,7	0,6	PEAGE DE PAMIERS
13,8	13,8	13,8	13,8	13,8	13,8	12,4	11,1	10,5	10,1	8,7	8,4	8,9	10,1	11,1	11,9	12,8	13,6	0	13,6	7,4	5,6	5,1	4,4	3,8	2,5	1,7	0,6	0	PAMIERS NORD
13,8	13,8	13,8	13,8	13,8	13,8	12,4	11,1	10,5	10,1	8,7	8,4	8,9	10,1	11,1	11,9	12,8	13,6	0	13,6	7,4	5,6	5,1	4,4	3,8	2,5	1,7	0,6	0	0	PAMIERS SUD
12,2	12,2	12,2	12,2	12,2	12,2	11,1	9,6	8,8	8,1	7,7	6,9	7,9	8,2	9,7	10,4	11,3	12	0	12	5,5	3,9	3,6	2,5	1,8	0,5	0,5	1,6	2,5	2,5	4,4	MONTGISCARD
13,4	13,4	13,4	13,4	13,4	13,4	12,1	10,6	10,2	9,5	8,7	7,6	8,8	9,7	10,8	10,9	12,8	13,3	0	13,3	6,8	5	4,7	3,5	2,7	1,3	1,2	2,3	3,4	3,4	3,4	0,7	PEAGE DE TOULOUSE SUD/OUEST
13,4	13,4	13,4	13,4	13,4	13,4	12,1	10,6	10,2	9,5	8,7	7,6	8,8	9,7	10,8	10,9	12,8	13,3	0	13,3	6,8	5	4,7	3,5	2,7	1,3	1,2	2,3	3,4	3,4	3,4	0,7	0	LE PALAYS
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	PEAGE DE TOULOUSE SUD/EST
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	0	MONTAUBAN
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	0	0	LASBORDES
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	0	0	0	SOUPETARD
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	0	0	0	0	LA ROSERAIE
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	0	0	0	0	0	LA CROIX DAURADE
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	0	0	0	0	0	0	BORDEROUGE
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	0	0	0	0	0	0	0	LES IZARDS
13,8	13,8	13,8	13,8	13,8	13,8	12,5	11	10,6	9,9	9,1	8	9,2	10,1	11,2	11,3	13,2	13,7	0	13,7	7,2	5,4	5,1	3,9	3	1,5	1,4	2,7	3,8	3,8	3,8	0,9	0	0	0	0	0	0	0	0	0	0	SESQUIERES
