SAINT-ARNOULT
2,1	ABLIS
4	1.5	CHARTRES EST
4,7	2,4	1,1	THIVARS
5,6	3,2	2	1	ILLIERS-COMBRAY
7,5	4,1	2,5	1,9	1,2	LUIGNY
9,2	5,9	4,1	3,4	2,5	1,4	LA FERTE-BERNARD
11,8	8,8	6,6	6	4,9	3,8	2,9	LE MANS NORD
12,3	9,8	7,8	7,4	5,4	4,4	3,1	1	AUVOURS
13,2	10,1	8,1	7,5	5,7	4,7	3,5	1,2	0,6	PARIGNE-L'EVEQUE
13,3	10,7	9	8,3	6,4	5,3	4,2	1,9	1,4	0,9	ECOMMOY
14,7	12	10,1	9,4	7,5	6,3	5	3	2	1,8	0,9	MONTABON
17,6	14,7	13	12,2	10,2	9,1	7,9	5,7	4,7	4,5	3,7	2,4	PEAGE DE SAINT-CHRISTOPHE
30	27,3	25,7	24,7	23,3	22,3	20,4	17,9	18,6	18,8	19,6	20,6	23,4	ROUMOIS
27	24,3	22,7	21,7	20,3	19,3	17,4	14,9	15,6	15,8	16,6	17,6	20,4	1	BRIONNE
24,6	21,9	20,3	19,3	17,9	16,9	15	12,5	13,2	13,4	14,2	15,2	18	3,6	1,8	BERNAY
22,5	19,8	18,2	17,2	15,8	14,8	12,9	10,4	11,1	11,3	12,1	13,1	15,9	5,6	2,8	1	BROGLIE OUEST
19,9	17,2	15,6	14,6	13,2	12,2	10,3	7,8	8,5	8,7	9,5	10,5	13,3	8	4,9	2,7	1,7	GACE
17,9	15,2	13,6	12,6	11,2	10,2	8,3	5,8	6,5	6,7	7,5	8,5	11,3	10,5	7,1	4,6	3,1	1,4	SEES
19,9	17,2	15,6	14,6	13,2	12,2	10,3	7,8	8,5	8,7	9,5	10,5	13,3	12,5	9,1	6,6	5,1	3,4	0	PEAGE d'ARGENTAN		.
14,8	12,2	10,3	9,6	8,2	7,2	5,3	2,5	3,2	3,4	4,2	5,2	8,1	15,1	12,1	9,7	7,6	5	3	5	ALENCON NORD
14,7	12,1	9,8	9,3	7,9	6,7	4,9	2	2,7	3	3,9	4,8	7,6	15,5	12,5	10,1	8	5,4	3,4	5,4	0,4	ALENCON SUD
14,1	11,4	9,7	8,3	6,7	5,6	4,5	1,6	2,1	2,6	3,6	4,4	7	16,3	13,3	10,9	8,8	6,2	4,2	6,2	0,8	0,5	ROUESSE-FONTAINE
13,2	10,6	8,9	8	6,3	5,2	4	1,1	1,6	1,9	3,1	3,8	6,5	16,9	13,9	11,5	9,4	6,8	4,8	6,8	1,3	1	0,6	MARESCHE
12,5	9,6	8	7,1	5,6	4,4	2,9	0,5	1,7	2	2,7	3,7	6	18,3	15,3	12,9	10,8	8,2	6,2	8,2	3,2	3	2,6	2	LE MANS OUEST
13,1	10,2	8,6	7,7	6,2	5	3,5	1,1	2,3	2,6	3,3	4,3	6,6	18,9	15,9	13,5	11,4	8,8	6,8	8,8	3,8	3,6	3,2	2,6	0,6	LE MANS SUD
14,5	11,6	10	9,1	7,6	6,4	4,9	2,5	3,7	4	4,7	5,7	8	20,3	17,3	14,9	12,8	10,2	8,2	10,2	5,2	5	4,6	4	2	1,8	SABLE LA FLECHE
15,1	12,2	10,6	9,7	8,2	7	5,5	3,1	4,3	4,6	5,3	6,3	8,6	20,9	17,9	15,5	13,4	10,8	8,8	10,8	5,8	5,6	5,2	4,6	2,6	2,4	0,7	DURTAL
16,2	13,3	11,7	10,8	9,3	8,1	6,6	4,2	5,4	5,7	6,4	7,4	9,7	22	19	16,6	14,5	11,9	9,9	11,9	6,9	6,7	6,3	5,7	3,7	3,4	1,5	0,7	SEICHES
17,6	14,7	13,1	12,2	10,7	9,5	8	5,6	6,8	7,1	7,8	8,8	11,1	23,4	20,4	18	15,9	13,3	11,3	13,3	8,3	8,1	7,7	7,1	5,1	4,8	2,5	1,9	1,2	ANGERS (CORZE)
17,6	14,7	13,1	12,2	10,7	9,5	8	5,6	6,8	7,1	7,8	8,8	11,1	23,4	20,4	18	15,9	13,3	11,3	13,3	8,3	8,1	7,7	7,1	5,1	4,8	2,5	1,9	1,2	0	PELLOUAILLES-LES-VIGNES
14,7	11,7	9,9	9	8,1	7,1	4,5	2,4	3,1	3,5	4,2	5	7,9	19,5	16,5	14,1	12	9,4	7,4	9,4	4,4	4,2	3,8	3,1	2,4	3	4,4	5	6,1	7,5	7,5	JOUE-EN-CHARNIE
15,9	13,3	11,5	10,8	9	8	6,1	3,7	4,5	4,8	5,5	6,4	9,5	21	18	15,6	13,5	10,9	8,9	10,9	5,9	5,5	4,9	4,4	3,8	4,4	5,8	6,4	7,5	8,9	8,9	0,9	VAIGES
17,6	14,6	12,5	12	10,9	9,7	7,7	4,7	5,5	5,9	7,1	7,8	10,7	22,5	19,5	17,1	15	12,4	10,4	12,4	7,4	7,2	6	5,5	4,7	5,3	6,7	7,3	8,4	9,8	9,8	2,3	1,4	LAVAL EST
18,1	15,1	13	12,5	11,4	10,3	8,1	5,2	6,1	6,6	7,6	8,3	11,3	23,2	20,2	17,8	15,7	13,1	11,1	13,1	8,1	7,9	7,4	6,6	4,9	5,5	6,9	7,5	8,6	10	10	2,7	1,7	0,6	LAVAL OUEST
19,1	16,3	14,8	14	13,1	12	9,6	7,1	8	8,2	9,1	10,1	13	24,6	21,6	19,2	17,1	14,5	12,5	14,5	9,5	9,1	8,4	8	7,2	7,8	9,2	9,8	10,9	12,3	12,3	3,8	3,3	1,6	1,4	LA GRAVELLE
17,7	14,8	13,2	12,3	10,8	9,6	8,1	5,7	6,9	7,2	7,9	8,9	11,2	23,5	20,5	18,1	16	13,4	11,4	13,4	8,4	8,2	7,8	7,2	5,2	4,7	2,6	1,9	1,3	2,2	2,2	7,6	9	9,9	10,1	12,4	BEAUFORT EN VALLEE
18,3	15,4	13,8	12,9	11,4	10,2	8,7	6,3	7,5	7,8	8,5	9,5	11,8	24,1	21,1	18,7	16,6	14	12	14	9	8,8	8,4	7,8	5,8	5,3	3,2	2,5	1,9	2,8	2,8	8,2	9,6	10,5	10,7	13	0,5	LONGUE
19	16,1	14,5	13,6	12,1	10,9	9,4	7	8,2	8,5	9,2	10,2	12,5	24,8	21,8	19,4	17,3	14,7	12,7	14,7	9,7	9,5	9,1	8,5	6,5	6	3,9	3,2	2,6	3,5	3,5	8,9	10,3	11,2	11,4	13,7	1	0,7	VIVY SAUMUR
20,1	17,2	15,6	14,7	13,2	12	10,5	8,1	9,3	9,6	10,3	11,3	13,6	25,9	22,9	20,5	18,4	15,8	13,8	15,8	10,8	10,6	10,2	9,6	7,6	7,1	5	4,3	3,7	4,6	4,6	10	11,4	12,3	12,5	14,8	1,9	1,4	1,1	BOURGEUIL
21,7	18,8	17,2	16,3	14,8	13,6	12,1	9,7	10,9	11,2	11,9	12,9	15,2	27,5	24,5	22,1	20	17,4	15,4	17,4	12,4	12,2	11,8	11,2	9,2	8,7	6,6	5,9	5,3	6,2	6,2	11,6	13	13,9	14,1	16,4	3,4	3,1	2,3	1,6	RESTIGNE
