LA SAULCE
1,7	SISTERON NORD
2,2	0,5	SISTERON SUD
2,8	1,3	0,5	AUBIGNOSC
3,5	1,9	1,2	0,7	PEYRUIS
4,1	2,8	2,3	1,9	1,1	LA BRILLANNE
5,1	4,3	3	2,6	1,8	0,9	MANOSQUE
6,2	5,2	4,4	3,9	3,1	1,9	1	SAINT PAUL LEZ DURANCE
7,4	6,9	5,8	5,1	4,3	3,2	2,3	1,4	PERTUIS
8,7	8,2	6,3	5,7	5,2	4,2	3,6	2,3	0,8	AIX (A51)
0	0	0	0	0	0	0	0	0	0	CARNOULES
16,5	16	14,1	13,5	13	12	11,4	10,1	8,6	1,6	1,6	PUGET-VILLE
14,4	13,9	12	11,4	10,9	9,9	9,3	8	6,5	1,6	1,6	0	TOULON-OUEST
14,4	13,9	12	11,4	10,9	9,9	9,3	8	6,5	1,6	1,6	0	0	SIX FOURS LES PLAGES
14,4	13,9	12	11,4	10,9	9,9	9,3	8	6,5	2,1	2,1	0,5	0,5	0,5	OLLIOULES
13,7	13,2	11,3	10,7	10,2	9,2	8,6	7,3	5,8	2,5	2,5	0,9	0,9	0,9	0,9	BANDOL
12,8	12,3	10,4	9,8	9,3	8,3	7,7	6,4	4,9	3,2	3,2	1,6	1,6	1,6	1,6	0,9	SAINT CYR LES LEQUES/LA CADIERE
11,9	11,4	9,5	8,9	8,4	7,4	6,8	5,5	4	4,1	4,1	2,5	2,5	2,5	2,5	1,8	0,9	LA CIOTAT
11,8	11,3	9,4	8,8	8,3	7,3	6,7	5,4	3,9	5	5	3,4	3,4	3,4	3,4	2,7	1,8	0,9	CASSIS
11	10,5	8,6	8	7,5	6,5	5,9	4,6	3,1	5	5	3,4	3,4	3,4	3,4	2,7	1,8	0,9	0,8	LA BEDOULE
11	10,5	8,6	8	7,5	6,5	5,9	4,6	3,1	5	5	3,4	3,4	3,4	3,4	2,7	1,8	0,9	0,8	0	AUBAGNE
11	10,5	8,6	8	7,5	6,5	5,9	4,6	3,1	0	0	8,3	0	0	0	0	0	0	0	0	0	GEMENOS
0	0	0	0	0	0	0	0	0	0	0	0	4,3	4,3	4,3	3,6	2,7	1,8	1,7	0,9	0,9	0,9	AURIOL
10,3	9,8	7,9	7,3	6,8	5,8	5,2	3,9	2,4	0	0	7,8	4,5	4,5	4,5	3,8	2,9	2	1,9	1,1	1,1	1,1	0	PAS DE TRETS
10,2	9,7	7,8	7,2	6,7	5,7	5,1	3,8	2,3	0	0	7,6	4,9	4,9	4,9	4,2	3,3	2,4	2,3	1,5	1,5	1,5	0	0,3	BELCODENE
8,7	8,2	6,3	5,7	5,2	4,2	3,6	2,3	0,8	0	0	7,8	5,7	5,7	5,7	5	4,1	3,2	3,1	2,3	2,3	2,3	0	1,6	1,5	AIX (A57,A50,A52,A8)
9,4	8,9	7	6,4	5,9	4,9	4,3	3	1,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,7	CANNET DE MEYEREUIL
0	0	0	0	0	0	0	0	0	0	0	5,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	POURRIERES
11	10,5	8,6	8	7,5	6,5	5,9	4,6	3,1	0	0	5	6,1	6,1	6,1	5,4	4,5	3,6	3,5	2,7	2,7	2,7	0	2,4	2,3	2,3	0	0,8	SAINT MAXIMIN
12,6	12,1	10,2	9,6	9,1	8,1	7,5	6,2	4,7	0	0	4	4	4	4,5	6,5	5,6	4,7	4,6	3,8	3,8	3,8	0	3,3	3,2	3,9	0	1,7	0,9	BRIGNOLES
13,9	13,4	11,5	10,9	10,4	9,4	8,8	7,5	6	0	0	2,8	2,8	2,8	3,3	3,7	4,4	5,3	6,2	5,1	5,1	5,1	0	4,8	4,7	5,2	0	3,1	2,5	1,6	LE CANNET DES MAURES
15,4	14,9	13	12,4	11,9	10,9	10,3	9	7,5	0	0	4,5	4,5	4,5	5	5,4	6,1	7	7,9	6,8	6,8	6,8	0	6,2	6,1	6,7	0	4,4	3,8	2,9	1,4	LE MUY
17	16,5	14,6	14	13,5	12,5	11,9	10,6	9,1	0	0	5,5	5,5	5,5	6	6,4	7,1	8	8,9	7,3	7,3	7,3	0	7,1	7	8,3	0	5,2	4,6	3,8	2,4	1	PUGET
17,1	16,6	14,7	14,1	13,6	12,6	12	10,7	9,2	0	0	5,7	5,7	5,7	6,2	6,6	7,3	8,2	9,1	8,1	8,1	8,1	0	7,2	7,1	8,4	0	5,8	5	4,2	2,7	1,4	0,4	FREJUS
19,6	19,1	17,2	16,6	16,1	15,1	14,5	13,2	11,7	0	0	8,1	8,1	8,1	8,6	9	9,7	10,6	11,5	10,5	10,5	10,5	0	9,2	9,1	10,9	0	7,4	7,3	7,1	5	3,4	2,5	1,7	LES ADRETS
19,6	19,1	17,2	16,6	16,1	15,1	14,5	13,2	11,7	0	0	8,1	8,1	8,1	8,6	9	9,7	10,6	11,5	10,5	10,5	10,5	0	9,2	9,1	10,9	0	7,4	7,3	7,1	5	3,4	2,5	1,7	0,8	MANDELIEU/MOUGINS
20,7	20,2	18,3	17,7	17,2	16,2	15,6	14,3	12,8	0	0	9,2	9,2	9,2	9,7	10,1	10,8	11,7	12,6	11,6	11,6	11,6	0	10,3	10,2	12	0	8,5	8,4	8,2	6,1	4,5	3,6	2,8	1,9	1,1	ANTIBES
21,7	21,2	19,3	18,7	18,2	17,2	16,6	15,3	13,8	0	0	10,2	10,2	10,2	10,7	11,1	11,8	12,7	13,6	12,6	12,6	12,6	0	11,3	11,2	13	0	9,5	9,4	9,2	7,1	5,5	4,6	3,8	2,9	2,1	1	VILLENEUVE LOUBET
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGNES SUR MER
21,7	21,2	19,3	18,7	18,2	17,2	16,6	15,3	13,8	0	0	10,2	10,2	10,2	10,7	11,1	11,8	12,7	13,6	12,6	12,6	12,6	0	11,3	11,2	13	0	9,5	9,4	9,2	7,1	5,5	4,6	3,8	2,9	2,1	1	0,6	0,4	SAINT LAURENT DU VAR
21,7	21,2	19,3	18,7	18,2	17,2	16,6	15,3	13,8	0	0	10,2	10,2	10,2	10,7	11,1	11,8	12,7	13,6	12,6	12,6	12,6	0	11,3	11,2	13	0	9,5	9,4	9,2	7,1	5,5	4,6	3,8	2,9	2,1	1	0,6	0,4	0	NICE OUEST/NICE AEROPORT
21,7	21,2	19,3	18,7	18,2	17,2	16,6	15,3	13,8	0	0	10,2	10,2	10,2	10,7	11,1	11,8	12,7	13,6	12,6	12,6	12,6	0	11,3	11,2	13	0	9,5	9,4	9,2	7,1	5,5	4,6	3,8	2,9	2,1	1	0,6	0,4	0	0	NICE SAINT ISIDORE
22	21,5	19,6	19	18,5	17,5	16,9	15,6	14,1	0	0	10,5	10,5	10,5	11	11,4	12,1	13	13,9	12,9	12,9	12,9	0	11,6	11,5	13,3	0	9,8	9,7	9,5	7,4	5,8	4,9	4,1	3,2	2,4	1,3	0,9	0,7	0,3	0,3	0	NICE QUARTIER NORD/NICE EST
22,6	22,1	20,2	19,6	19,1	18,1	17,5	16,2	14,7	0	0	11,1	11,1	11,1	11,6	12	12,7	13,6	14,5	13,5	13,5	13,5	0	12,2	12,1	13,9	0	10,4	10,3	10,1	8	6,4	5,5	4,7	3,8	3	1,9	1,5	1,3	0,9	0,9	0	0,7	MONACO
24,2	23,7	21,8	21,2	20,7	19,7	19,1	17,8	16,3	0	0	12,7	12,7	12,7	13,2	13,6	14,3	15,2	16,1	15,1	15,1	15,1	0	13,8	13,7	15,5	0	12	11,9	11,7	9,6	8	7,1	6,3	5,4	4,6	3,5	3,1	2,9	2,5	2,5	0	2,3	1,6	LA TURBIE
