La Fouillouse
Péage	de	Deux	Chaises	Andrézieux-Bouthéon sud
Péage	de	Veigné	Andrézieux-Bouthéon nord
Péage	de	St0	Arnoult	Péage de Veauchette
Péage	de	Monnaie	Montbrison Montrond
Gerzat	Feurs Lentilly
Riom	Tour de Salvagny
Montmarault	Lentilly
Forêt	de	Tronçais	Pont de Dorieux
St0	Amand0	Montrond	L’Arbresle
Bourges	Tarare est(péage en systEme ouvert)
Vierzon	est	BARRIERE DE PEAGE DE SAINT-ROMAIN-DE-POPEY
Vierzon	nord	Tarare est(péage en systEme fermé)
Villefranche0	sur0	Cher	Tarare ouest
St0	Romain0	sur0	Cher	Balbigny
Chémery	Saint-Germain-Laval
Bléré	Noirétable
Esvres	Thiers est
Salbris	Thiers ouest
Lamotte0	Beuvron	Lezoux
Olivet	BARRIERE DE PEAGE DE MARTRES-D'ARTIERE
Orléans	centre	Clermont-Ferrand
Allainville	Pont du Château
