X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
PAMIERS SUD	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	47,2	46,5	43,6	42,7	42,5	39,8	38,6	36,6	34,5	32,9	32	31,1	29,3	27,4	26,8	26,9	27,7	29,9	25,2	24,9
MONTGISCARD	48,6	48,6	48,6	48,6	48,6	48,6	48,6	48,6	48,6	48,6	44,7	44	41,1	40,2	40	37,3	36,1	34,1	32	30,4	29,5	28,6	26,8	24,9	24,3	24,4	25,2	27,4	22,7	22,4
PEAGE DE TOULOUSE SUD/OUEST	50,9	50,9	50,9	50,9	50,9	50,9	50,9	50,9	50,9	50,9	47	46,3	43,4	42,5	42,3	39,6	38,4	36,4	34,3	32,7	31,8	30,9	29,1	27,2	26,6	26,7	27,5	29,7	25	24,7
LE PALAYS	50,9	50,9	50,9	50,9	50,9	50,9	50,9	50,9	50,9	50,9	47	46,3	43,4	42,5	42,3	39,6	38,4	36,4	34,3	32,7	31,8	30,9	29,1	27,2	26,6	26,7	27,5	29,7	25	24,7
PEAGE DE TOULOUSE SUD/EST	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
MONTAUDRAN	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
LASBORDES	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
SOUPETARD	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
LA ROSERAIE	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
LA CROIX DAURADE	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
BORDEROUGE	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
LES IZARDS	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
SESQUIERES	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47,6	46,9	44	43,1	42,9	40,2	39	37	34,9	33,3	32,4	31,5	29,7	27,8	27,2	27,3	28,1	30,3	25,6	25,3
