X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
JARNY	93,1	91,3	90,6	88	85,4	83,4	80,8	78,6	76,5
BEAUMONT	96,5	94,7	94	91,4	88,8	86,8	84,2	82	79,9
GYE	90,3	88,5	87,8	85,2	82,6	80,6	78	75,8	73,7
COLOMBEY-LES-BELLES	88,2	86,4	85,7	83,1	80,5	78,5	75,9	73,7	71,6
CHATENOIS SUD	85,6	83,8	83,1	80,5	77,9	75,9	73,3	71,1	69
BULGNEVILLE	85,3	83,5	82,8	80,2	77,6	75,6	73	70,8	68,7
ROBECOURT	83,8	82	81,3	78,7	76,1	74,1	71,5	69,3	67,2
MONTIGNY-LE-ROI	82,3	80,5	79,8	77,2	74,6	72,6	70	67,8	65,7
LANGRES NORD	80,7	78,9	78,2	75,6	73	71	68,4	66,2	64,1
LANGRES SUD	81,4	79,6	78,9	76,3	73,7	71,7	69,1	66,9	64,8
TIL-CHATEL	83,7	81,9	81,2	78,6	76	74	71,4	69,2	67,1
DIJON/ARC-SUR- TILLE	86,3	84,5	83,8	81,2	78,6	76,6	74	71,8	69,7
DIJON SUD	84,9	83,1	82,4	79,8	77,2	75,2	72,6	70,4	68,3
NUITS-ST-GEORGES	83,2	81,4	80,7	78,1	75,5	73,5	70,9	68,7	66,6
SEURRE	84,4	82,6	81,9	79,3	76,7	74,7	72,1	69,9	67,8
DÔLE	86,7	84,9	84,2	81,6	79	77	74,4	72,2	70,1
GENDREY	87,7	85,9	85,2	82,6	80	78	75,4	73,2	71,1
BESANÇON OUEST	90,1	88,3	87,6	85	82,4	80,4	77,8	75,6	73,5
BESANÇON NORD	90,1	88,3	87,6	85	82,4	80,4	77,8	75,6	73,5
BESANÇON EST	90,1	88,3	87,6	85	82,4	80,4	77,8	75,6	73,5
BAUME-LES-DAMES	92,7	90,9	90,2	87,6	85	83	80,4	78,2	76,1
L’ISLE-SUR-LE-DOUBS	94,2	92,4	91,7	89,1	86,5	84,5	81,9	79,7	77,6
SAINT-MAURICE	98,4	96,6	95,9	93,3	90,7	88,7	86,1	83,9	81,8
DIJON-CRIMOLOIS	85,5	83,7	83	80,4	77,8	75,8	73,2	71	68,9
SOIRANS	85,9	84,1	83,4	80,8	78,2	76,2	73,6	71,4	69,3
CHOISEY	86,7	84,9	84,2	81,6	79	77	74,4	72,2	70,1
BERSAILLIN	89,7	87,9	87,2	84,6	82	80	77,4	75,2	73,1
ARLAY	89,9	88,1	87,4	84,8	82,2	80,2	77,6	75,4	73,3
BEAUREPAIRE	91	89,2	88,5	85,9	83,3	81,3	78,7	76,5	74,4
LE MIROIR	92	90,2	89,5	86,9	84,3	82,3	79,7	77,5	75,4
BEAUPONT	92,9	91,1	90,4	87,8	85,2	83,2	80,6	78,4	76,3
VAL DE SAONE	95,4	93,6	92,9	90,3	87,7	85,7	83,1	80,9	78,8
MÂCON CENTRE	89,2	87,4	86,7	84,1	81,5	79,5	76,9	74,7	72,6
FEILLENS	88,8	87	86,3	83,7	81,1	79,1	76,5	74,3	72,2
REPLONGES	88,8	87	86,3	83,7	81,1	79,1	76,5	74,3	72,2
ST-GENIS	92,9	91,1	90,4	87,8	85,2	83,2	80,6	78,4	76,3
BOURG NORD	91,3	89,5	88,8	86,2	83,6	81,6	79	76,8	74,7
VIRIAT	91,4	89,6	88,9	86,3	83,7	81,7	79,1	76,9	74,8
BOURG SUD	92,4	90,6	89,9	87,3	84,7	82,7	80,1	77,9	75,8
ST-MARTIN-DU-FRESNE	96,8	95	94,3	91,7	89,1	87,1	84,5	82,3	80,2
SYLANS SUD	97,4	95,6	94,9	92,3	89,7	87,7	85,1	82,9	80,8
BELLEGARDE	101,6	99,8	99,1	96,5	93,9	91,9	89,3	87,1	85
ELOISE	102,9	101,1	100,4	97,8	95,2	93,2	90,6	88,4	86,3
VIRY	106,9	105,1	104,4	101,8	99,2	97,2	94,6	92,4	90,3
LA CROIX-CHALON	97	95,2	94,5	91,9	89,3	87,3	84,7	82,5	80,4
GROISSIAT	98,7	96,9	96,2	93,6	91	89	86,4	84,2	82,1
PONT-D’AIN	93,7	91,9	91,2	88,6	86	84	81,4	79,2	77,1
AMBÉRIEU	95,1	93,3	92,6	90	87,4	85,4	82,8	80,6	78,5
PÉROUGES	96	94,2	93,5	90,9	88,3	86,3	83,7	81,5	79,4
BALAN	96	94,2	93,5	90,9	88,3	86,3	83,7	81,5	79,4
LA BOISE/MONTUEL	97,5	95,7	95	92,4	89,8	87,8	85,2	83	80,9
BEYNOST	98,3	96,5	95,8	93,2	90,6	88,6	86	83,8	81,7
LA COTIERE	98,2	96,4	95,7	93,1	90,5	88,5	85,9	83,7	81,6
LA BOISSE	99,7	97,9	97,2	94,6	92	90	87,4	85,2	83,1
