BOULOGNE EST (péage d'Herquelingue) 
1,1	BOULOGNE SUD
1,9	1,1	NEUFCHÂTEL-HARDELOT
3,4	1,7	1,2	ETAPLES / LE TOUQUET
4,7	3,4	2,2	1,2	BERCK
6,7	5,1	4,3	3,1	1,9	LA CÔTE PICARDE A16
9,3	7,6	6,4	5,2	4,0	1,7	ABBEVILLE NORD
10,1	8,4	7,1	6,3	4,8	2,6	1,1	ABBEVILLE EST
11,4	9,5	8,6	7,4	6,3	4,1	2,3	1,6	VALLÉE DE LA NIÈVRE
13,5	11,4	10,8	9,8	8,5	6,4	4,4	3,8	1,7	AMIENS NORD
13,5	11,4	10,8	9,8	8,5	6,4	4,8	4,1	2,2	0,5	AMIENS OUEST
13,8	11,4	11,0	9,8	9,2	7,0	5,1	4,2	2,8	0,9	0,5	SALOUËL
15,7	12,6	12,3	10,9	9,7	7,5	5,9	5,2	3,2	1,4	1,0	0,9	AMIENS SUD (péage de Dury) 
15,1	12,9	11,7	11,2	10,2	8,2	6,3	5,3	4,0	2,2	1,7	1,2	1,6	ESSERTAUX
16,2	14,7	13,8	12,3	11,6	9,3	7,8	6,8	4,8	3,5	2,9	2,7	3,1	1,3	HARDIVILLERS
19,8	16,9	15,8	15,6	14,7	11,6	10,4	9,2	7,0	5,2	4,9	4,6	4,9	3,1	1,6	BEAUVAIS NORD
20,0	17,0	16,0	15,6	14,7	11,7	10,6	9,3	7,8	5,9	5,8	5,1	6,1	3,9	2,2	0,5	BEAUVAIS CENTRE
21,6	19,5	18,0	17,2	15,8	13,7	11,9	10,8	9,6	7,5	7,0	6,6	7,1	5,1	4,1	2,6	2,0	MÉRU
24,8	23,5	21,6	20,8	19,1	16,8	15,8	14,7	11,8	10,5	9,6	9,5	10,2	8,0	6,8	5,1	4,3	1,9	L'ISLE-ADAM (péage d'Amblainville) 
14,6	11,7	11,4	9,8	8,8	7,9	6,0	5,4	4,1	2,5	1,7	1,7	2,8	3,0	4,5	5,7	6,3	8,0	10,7	POIX-DE-PICARDIE A29
14,8	13,1	11,8	11,4	10,1	9,2	7,3	7,0	5,2	4,3	3,4	3,6	4,8	4,7	5,7	7,0	8,2	9,5	12,4	1,7	AUMALE
17,2	14,9	13,3	12,7	12,6	10,1	8,9	8,1	7,0	6,1	5,2	5,5	6,7	6,2	8,1	9,7	10,0	11,0	14,9	3,4	1,2	NEUFCHÂTEL-EN-BRAY (A28) 
