CALAIS (péage de Setques) 
2,8	SAINT-OMER
3,3	0,8	AIRE-SUR-LA-LYS
5,4	2,5	1,6	LILLERS
6,9	3,8	2,8	1,1	BÉTHUNE
7,8	4,2	3,4	1,4	0,5	NŒUX-LES-MINES.1
8,5	4,6	4,1	1,9	1,0	0,5	LIÉVIN.2
9,1	6,0	4,8	3,0	2,0	1,4	1,0	ARRAS NORD (A26)
11,5	8,4	7,8	5,4	4,1	3,5	3,3	2,2	MARQUION
12,1	9,3	8,6	6,2	5,7	5,0	4,6	3,5	1,2	MASNIÈRES
15,1	11,5	10,8	9,1	7,8	7,4	6,9	6,0	3,2	2,0	SAINT-QUENTIN NORD
15,6	12,2	11,4	9,4	8,7	7,9	7,7	6,8	4,0	2,5	0,8	SAINT-QUENTIN SUD
16,6	13,7	11,7	10,1	9,6	9,1	9,1	8,1	5,2	4,2	2,0	1,5	LA FÈRE
19,3	15,3	14,6	12,5	11,7	11,5	10,8	10,0	6,9	5,7	3,9	2,9	1,3	LAON
20,7	18,0	15,7	14,4	14,3	13,3	13,0	12,2	9,2	8,1	6,0	5,8	3,8	2,2	GUIGNICOURT
26,0	22,2	21,0	19,6	17,8	17,2	16,3	15,7	13,1	11,6	9,6	8,4	6,6	4,8	2,4	REIMS (péage de Courcy) 
16,6	13,7	13,6	11,4	10,7	10,4	9,8	8,6	9,0	7,4	6,3	5,7	7,2	9,4	10,9	14,6	AMIENS EST (péage de Jules Verne) A29
13,7	10,9	10,4	9,6	8,5	8,3	8,2	6,3	7,3	5,5	4,8	4,6	5,5	7,5	9,4	13,1	1,2	VILLERS-BRETONNEUX
12,6	10,1	9,0	7,7	7,1	6,5	5,8	4,7	5,0	4,1	3,1	3,0	4,5	5,6	7,4	10,7	3,2	1,6	GARE TGV
14,4	10,6	10,1	8,7	7,7	7,1	6,7	5,7	4,7	3,7	1,8	1,8	2,8	4,6	6,2	9,5	4,6	2,8	1,0	ATHIES
13,3	10,6	8,7	7,4	6,3	5,6	5,0	4,6	2,1	2,3	4,8	5,2	6,9	8,5	10,5	14,3	9,4	7,2	4,8	5,7	HORDAIN (péage d'Hordain) A2
11,8	8,7	8,0	5,8	5,2	4,7	4,3	3,3	0,9	1,2	3,1	4,2	5,2	7,1	9,1	12,4	7,6	5,2	3,6	4,4	1,2	CAMBRAI
10,2	7,8	7,2	4,8	4,0	3,2	2,6	1,6	2,9	4,6	6,9	7,8	8,9	10,9	12,5	18,0	10,0	8,2	5,4	7,1	4,8	3,6	LILLE / DOURGES (péage de Fresnes) 
9,2	6,6	5,7	4,0	3,0	2,5	2,0	1,0	2,1	3,5	5,4	6,0	7,0	8,8	10,9	14,4	7,8	5,5	3,9	4,8	4,3	2,8	1,5	ARRAS EST (A1)
11,2	8,4	7,8	5,4	4,5	4,2	3,8	2,6	3,1	4,1	6,1	6,5	7,7	10,0	11,3	14,7	5,7	4,1	2,5	3,6	5,2	4,0	3,6	1,5	BAPAUME A1
12,1	9,4	8,7	7,0	5,7	5,2	4,8	4,1	3,8	2,8	4,5	4,3	5,5	6,8	9,2	12,0	4,1	2,8	1,0	1,9	4,4	2,6	4,8	2,8	1,2	ALBERT.1
12,4	9,8	9,0	7,2	7,0	6,4	5,5	4,5	4,5	3,6	3,6	3,7	4,7	5,8	8,2	10,4	3,6	2,0	0,3	1,2	4,7	3,4	5,4	3,9	2,1	0,7	PÉRONNE / VALLEE DE LA SOMME
15,0	11,7	11,1	9,6	8,7	8,5	7,9	6,0	6,2	5,1	4,8	4,6	5,8	7,2	9,6	12,6	4,5	3,0	1,3	2,2	7,2	5,1	8,3	5,6	4,0	2,4	1,5	ROYE
17,5	13,8	12,5	11,0	10,2	9,6	9,1	8,5	7,3	6,7	6,8	6,1	7,1	8,6	10,5	14,0	6,5	4,7	3,0	4,2	8,9	6,8	10,1	7,0	5,2	4,2	3,8	1,7	RESSONS
18,3	15,4	14,3	12,8	11,1	10,8	10,6	9,4	8,4	8,4	8,0	7,5	8,6	9,5	12,1	14,4	7,9	5,7	4,3	5,0	10,4	8,5	12,1	8,9	6,4	5,2	4,6	2,9	1,0	COMPIÈGNE OUEST
18,9	16,4	15,3	13,7	12,6	11,8	11,0	10,3	8,9	8,6	8,7	8,6	8,9	9,9	12,5	14,7	8,4	6,3	4,6	5,9	10,7	9,0	12,5	8,9	6,9	5,7	5,2	3,9	1,7	0,7	PONT-SAINTE-MAXENCE
20,2	18,0	16,8	15,1	14,4	13,2	12,9	12,1	10,3	9,8	10,1	9,4	10,5	11,7	13,5	15,1	9,8	8,2	5,8	6,9	12,8	10,4	14,4	11,3	8,6	7,1	6,8	5,8	3,1	1,9	1,5	SENLIS
24,7	21,9	20,3	19,0	18,1	17,0	16,3	15,8	12,9	12,7	13,4	12,4	12,8	14,3	15,9	17,7	11,9	10,3	8,7	9,4	16,0	14,6	18,8	15,3	12,7	10,8	10,4	8,6	6,0	4,8	3,8	2,2	PARIS / ROISSY (péage de Chamant)
