MANZAT
10,8	0	10,8	10,8	10,7	10,3	16,3	16,3	16,3	16,3	0	16,3	14,1	13	9,9	8,5	5,8	3,8	2,5	1,7	0	0	VULCANIA-BROMONT
1,8	ST JULIEN / SANCY
4,4	2,1	USSEL EST
7,4	4,7	2,4	USSEL OUEST
9	6,9	4,3	1,5	EGLETONS
11,9	9,6	7,7	4,2	2,3	TULLE EST
14,5	12,2	10,1	6,4	4,8	1,6	TULLE NORD
15,2	12,8	10,9	7,2	5,4	2,5	0,7	ST GERMAIN LES VERGNES
