MANZAT
1,8	VULCANIA-BROMONT
4,4	2,1	ST JULIEN / SANCY
7,4	4,8	2,4	USSEL EST
9	6,9	4,3	1,5	USSEL OUEST
11,9	9,6	7,9	4,2	2,3	EGLETONS
14,5	12,3	10,4	6,4	4,9	1,6	TULLE EST
15,2	12,9	11,1	7,2	5,5	2,5	0,7	TULLE NORD
18	15,2	14,5	9,9	8,5	4,9	2,1	1,4	ST GERMAIN LES VERGNES
