MANZAT
1,8	VULCANIA-BROMONT
4,2	2,1	ST JULIEN / SANCY
6,7	4,3	2,2	USSEL EST
8,1	6,3	3,9	1,5	USSEL OUEST
10,6	8,5	6,7	4,1	2,3	EGLETONS
12,7	10,6	8,8	5,8	4,2	1,6	TULLE EST
13,5	11,2	9,4	6,6	4,8	2,4	0,7	TULLE NORD
16,4	13,5	12,5	8,4	7,3	4,2	2,1	1,4	ST GERMAIN LES VERGNES
