La Fouillouse
0	Andrézieux-Bouthéon sud
0	0	Andrézieux-Bouthéon nord
0	0	0	Péage de Veauchette
0,7	0	0,7	0,7	Montbrison Montrond
1,4	0	1,4	1,4	0,6	Feurs Lentilly
5,8	0	5,8	5,8	4,9	4,2	Tour de Salvagny
5,8	0	5,8	5,8	4,9	4,2	0	Lentilly
5,8	0	5,8	5,8	4,9	4,2	0	0	Pont de Dorieux
5,8	0	5,8	5,8	4,9	4,2	0	0	0	L’Arbresle
0	0	0	0	0	0	1	1	1	1	Tarare est(péage en systEme ouvert)
5,8	0	5,8	5,8	4,9	4,2	0	0	0	0	0	BARRIERE DE PEAGE DE SAINT-ROMAIN-DE-POPEY
4,4	0	4,4	4,4	3,6	2,8	0	0	0	0	0	0	Tarare est(péage en systEme fermé)
3,9	0	3,9	3,9	3	2,3	1,6	1,6	1,6	1,6	0	1,6	0,5	Tarare ouest
2,4	0	2,4	2,4	1,4	0,7	3,6	3,6	3,6	3,6	0	3,6	2,2	1,3	Balbigny
2,2	0	2,2	2,2	1,4	0,8	4,3	4,3	4,3	4,3	0	4,3	2,8	2,4	0,7	Saint-Germain-Laval
3,2	0	3,2	3,2	2,7	2,1	5,6	5,6	5,6	5,6	0	5,6	4,1	3,7	2	1,2	Noirétable
4,3	0	4,3	4,3	3,7	3	6,5	6,5	6,5	6,5	0	6,5	4,9	4,5	3,1	2	0,8	Thiers est
5,3	0	5,3	5,3	4,7	3,8	7,3	7,3	7,3	7,3	0	7,3	5,5	5,1	3,5	2,5	1,6	0,7	Thiers ouest
5,3	0	5,3	5,3	4,8	4	7,7	7,7	7,7	7,7	0	7,7	6,1	5,6	3,9	3,2	2	1	0,5	Lezoux
6,3	0	6,3	6,3	6,2	5,6	9,6	9,6	9,6	9,6	0	9,6	7,9	7,7	5,6	4,5	3,1	2,1	1,5	1	BARRIERE DE PEAGE DE MARTRES-D'ARTIERE
6,3	0	6,3	6,3	6,2	5,6	9,6	9,6	9,6	9,6	0	9,6	7,9	7,7	5,6	4,5	3,1	2,1	1,5	1	0	Clermont-Ferrand
6,3	0	6,3	6,3	6,2	5,6	9,6	9,6	9,6	9,6	0	9,6	7,9	7,7	5,6	4,5	3,1	2,1	1,5	1	0	0	Pont du Château
