X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
JARNY	100	98,3	97,5	94,6	91,7	89,5	86,7	84,1	81,8
BEAUMONT	101,4	99,7	98,9	96	93,1	90,9	88,1	85,5	83,2
GYE	105,3	103,6	102,8	99,9	97	94,8	92	89,4	87,1
COLOMBEY-LES-BELLES	98,5	96,8	96	93,1	90,2	88	85,2	82,6	80,3
CHATENOIS SUD	96,2	94,5	93,7	90,8	87,9	85,7	82,9	80,3	78
BULGNEVILLE	93,5	91,8	91	88,1	85,2	83	80,2	77,6	75,3
ROBECOURT	92,9	91,2	90,4	87,5	84,6	82,4	79,6	77	74,7
MONTIGNY-LE-ROI	91,4	89,7	88,9	86	83,1	80,9	78,1	75,5	73,2
LANGRES NORD	89,7	88	87,2	84,3	81,4	79,2	76,4	73,8	71,5
LANGRES SUD	88	86,3	85,5	82,6	79,7	77,5	74,7	72,1	69,8
TIL-CHATEL	88,8	87,1	86,3	83,4	80,5	78,3	75,5	72,9	70,6
DIJON/ARC-SUR- TILLE	91,3	89,6	88,8	85,9	83	80,8	78	75,4	73,1
DIJON SUD	94,2	92,5	91,7	88,8	85,9	83,7	80,9	78,3	76
NUITS-ST-GEORGES	92,5	90,8	90	87,1	84,2	82	79,2	76,6	74,3
SEURRE	90,8	89,1	88,3	85,4	82,5	80,3	77,5	74,9	72,6
DÔLE	92	90,3	89,5	86,6	83,7	81,5	78,7	76,1	73,8
GENDREY	94,6	92,9	92,1	89,2	86,3	84,1	81,3	78,7	76,4
BESANÇON OUEST	95,7	94	93,2	90,3	87,4	85,2	82,4	79,8	77,5
BESANÇON NORD	98,3	96,6	95,8	92,9	90	87,8	85	82,4	80,1
BESANÇON EST	98,3	96,6	95,8	92,9	90	87,8	85	82,4	80,1
BAUME-LES-DAMES	98,3	96,6	95,8	92,9	90	87,8	85	82,4	80,1
L’ISLE-SUR-LE-DOUBS	101,1	99,4	98,6	95,7	92,8	90,6	87,8	85,2	82,9
SAINT-MAURICE	102,7	101	100,2	97,3	94,4	92,2	89,4	86,8	84,5
DIJON-CRIMOLOIS	107,3	105,6	104,8	101,9	99	96,8	94	91,4	89,1
SOIRANS	93,4	91,7	90,9	88	85,1	82,9	80,1	77,5	75,2
CHOISEY	93,6	91,9	91,1	88,2	85,3	83,1	80,3	77,7	75,4
BERSAILLIN	94,6	92,9	92,1	89,2	86,3	84,1	81,3	78,7	76,4
ARLAY	97,8	96,1	95,3	92,4	89,5	87,3	84,5	81,9	79,6
BEAUREPAIRE	98	96,3	95,5	92,6	89,7	87,5	84,7	82,1	79,8
LE MIROIR	99,2	97,5	96,7	93,8	90,9	88,7	85,9	83,3	81
BEAUPONT	100,3	98,6	97,8	94,9	92	89,8	87	84,4	82,1
VAL DE SAONE	101,3	99,6	98,8	95,9	93	90,8	88	85,4	83,1
MÂCON CENTRE	104,1	102,4	101,6	98,7	95,8	93,6	90,8	88,2	85,9
FEILLENS	97,1	95,4	94,6	91,7	88,8	86,6	83,8	81,2	78,9
REPLONGES	96,9	95,2	94,4	91,5	88,6	86,4	83,6	81	78,7
ST-GENIS	96,9	95,2	94,4	91,5	88,6	86,4	83,6	81	78,7
BOURG NORD	101,4	99,7	98,9	96	93,1	90,9	88,1	85,5	83,2
VIRIAT	99,5	97,8	97	94,1	91,2	89	86,2	83,6	81,3
BOURG SUD	99,6	97,9	97,1	94,2	91,3	89,1	86,3	83,7	81,4
ST-MARTIN-DU-FRESNE	100,8	99,1	98,3	95,4	92,5	90,3	87,5	84,9	82,6
SYLANS SUD	105,5	103,8	103	100,1	97,2	95	92,2	89,6	87,3
BELLEGARDE	106,2	104,5	103,7	100,8	97,9	95,7	92,9	90,3	88
ELOISE	110,7	109	108,2	105,3	102,4	100,2	97,4	94,8	92,5
VIRY	112,1	110,4	109,6	106,7	103,8	101,6	98,8	96,2	93,9
LA CROIX-CHALON	116,5	114,8	114	111,1	108,2	106	103,2	100,6	98,3
GROISSIAT	105,8	104,1	103,3	100,4	97,5	95,3	92,5	89,9	87,6
PONT-D’AIN	107,6	105,9	105,1	102,2	99,3	97,1	94,3	91,7	89,4
AMBÉRIEU	102,2	100,5	99,7	96,8	93,9	91,7	88,9	86,3	84
PÉROUGES	103,8	102,1	101,3	98,4	95,5	93,3	90,5	87,9	85,6
BALAN	104,7	103	102,2	99,3	96,4	94,2	91,4	88,8	86,5
LA BOISE/MONTUEL	104,7	103	102,2	99,3	96,4	94,2	91,4	88,8	86,5
BEYNOST	106,3	104,6	103,8	100,9	98	95,8	93	90,4	88,1
LA COTIERE	107,2	105,5	104,7	101,8	98,9	96,7	93,9	91,3	89
LA BOISSE	107,1	105,4	104,6	101,7	98,8	96,6	93,8	91,2	88,9
