X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	33,7	29,1	27,9	25,1	24,1	23,9	20,9	19,3	16,5	15,1	11,7	11,5	10,4	8,7	6,3	5,5	5,6	6,5	9,4	3,7	3,3
AGDE PEZENAS	36,3	36,3	36,3	36,3	36,3	36,3	36,3	36,3	36,3	36,3	31,4	30,4	27,5	26,3	26,1	23,2	21,7	18,9	17,4	13,9	13,8	12,8	11	8,6	7,9	8	9	11,6	6,1	5,6
PEAGE DE BEZIERS CABRIALS	37,2	37,2	37,2	37,2	37,2	37,2	37,2	37,2	37,2	37,2	32,3	31,2	28,5	27,3	27,1	23,9	22,8	20,1	18,7	15,2	15,1	13,8	12,4	9,6	9,1	9,2	9,9	12,8	7,1	6,9
BEZIERS OUEST	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	37,9	33,3	32,1	29,5	28,1	27,9	25	23,7	20,9	19,5	16,2	16	14,7	13,4	10,6	10,1	10,2	10,8	13,8	8,2	7,8
NARBONNE EST	41,8	41,8	41,8	41,8	41,8	41,8	41,8	41,8	41,8	41,8	37	35,9	33,1	31,8	31,6	28,7	27,1	24,3	22,9	19,5	19,4	18,4	16,6	14,1	13,5	13,6	14,3	17,1	11,6	11,2
NARBONNE SUD	42	42	42	42	42	42	42	42	42	42	37,2	36,1	33,3	32	31,8	28,9	27,3	24,5	23,1	19,7	19,6	18,6	16,8	14,3	13,7	13,8	14,5	17,3	11,8	11,4
SIGEAN	43,9	43,9	43,9	43,9	43,9	43,9	43,9	43,9	43,9	43,9	39,3	37,8	35,1	33,9	33,7	30,7	29,4	26,6	25,4	22,1	22	20,4	19	16,3	15,6	15,8	16,7	19,6	14	13,8
LEUCATE	44,8	44,8	44,8	44,8	44,8	44,8	44,8	44,8	44,8	44,8	40,1	38,9	36,2	34,7	34,5	31,7	30,3	27,4	26,3	22,7	22,6	21,5	19,9	17,7	16,8	16,9	17,6	20,5	15	14,7
PERPIGNAN NORD	48,7	48,7	48,7	48,7	48,7	48,7	48,7	48,7	48,7	48,7	43,9	42,7	40,1	38,7	38,5	35,6	34,1	31,3	29,9	26,4	26,3	25,2	23,7	21,4	20,7	20,8	21,3	24,3	18,7	18,3
PERPIGNAN SUD	48,9	48,9	48,9	48,9	48,9	48,9	48,9	48,9	48,9	48,9	44,1	42,9	40,3	39	38,7	35,8	34,3	31,5	30,1	26,6	26,5	25,4	23,9	21,6	20,9	21	21,5	24,6	19	18,6
LE BOULOU	51,6	51,6	51,6	51,6	51,6	51,6	51,6	51,6	51,6	51,6	46,7	45,9	43,1	41,6	41,4	38,3	36,9	34,3	32,8	29,1	29	28	26,7	24,4	23,3	23,4	24,2	27,3	21,5	21,3
PEAGE DU PERTHUS	52,5	52,5	52,5	52,5	52,5	52,5	52,5	52,5	52,5	52,5	48,9	47,9	45,1	43	42,8	40,6	39	36,2	35	30,7	30,6	30,1	28,6	26,3	25,6	25,7	26,4	29,4	24	23,6
FRONTIERE ESPAGNOLE	52,5	52,5	52,5	52,5	52,5	52,5	52,5	52,5	52,5	52,5	48,9	47,9	45,1	43	42,8	40,6	39	36,2	35	30,7	30,6	30,1	28,6	26,3	25,6	25,7	26,4	29,4	24	23,6
LEZIGNAN	43,8	43,8	43,8	43,8	43,8	43,8	43,8	43,8	43,8	43,8	38,7	37,9	35,1	34	33,8	30,7	29,3	26,7	25,3	22	21,9	20,5	19,3	16,6	15,9	16	16,6	19,5	14,1	13,8
CARCASSONNE EST	47,9	47,9	47,9	47,9	47,9	47,9	47,9	47,9	47,9	47,9	42,7	42,4	39,7	38,2	38	34,9	33,6	31	29,6	26,4	26,3	25,1	23,6	21	20,3	20,4	21,1	24	18,5	18,2
CARCASSONNE OUEST	48,2	48,2	48,2	48,2	48,2	48,2	48,2	48,2	48,2	48,2	43	42,7	40	38,5	38,2	35,2	33,8	31,2	29,9	26,7	26,6	25,4	23,9	21,2	20,6	20,7	21,3	24,3	18,9	18,6
BRAM	50,5	50,5	50,5	50,5	50,5	50,5	50,5	50,5	50,5	50,5	46,2	45,3	42,6	41,2	41	37,8	36,4	34	32,5	29,1	29	27,9	26,2	23,7	23	23,1	24,1	26,4	21,9	21,3
CASTELNAUDARY	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	51,5	47	46,1	43,3	42,2	42	38,5	37,4	35	33,5	29,9	29,8	28,8	27,7	25	24,3	24,5	25,3	27,7	22,6	22,5
VILLEFRANCHE DE LAURAGAIS	55	55	55	55	55	55	55	55	55	55	50	49,5	46,5	45,4	45,2	42,3	40,9	38,1	36,7	33,6	33,5	32,1	30,4	28	27,5	27,6	28,1	30,2	25,5	25,2
NAILLOUX	55,2	55,2	55,2	55,2	55,2	55,2	55,2	55,2	55,2	55,2	50,4	49,7	46,7	45,6	45,4	42,6	41,1	38,2	36,8	33,7	33,6	32,3	30,5	28,3	27,7	27,8	28,3	30,4	25,7	25,5
MAZERES SAVERDUN	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	55,5	51,2	49,8	47	45,9	45,7	43	41,5	39	37,4	34,2	34,1	32,8	31	28,8	28,2	28,3	28,8	31,3	26,3	26,1
PEAGE DE PAMIERS	56	56	56	56	56	56	56	56	56	56	51,7	50,1	47,4	46,8	46,5	43,5	42	39,5	37,9	34,8	34,7	33,3	31,5	29,3	28,7	28,8	29,5	31,8	27,1	26,6
PAMIERS NORD	56	56	56	56	56	56	56	56	56	56	51,7	50,1	47,4	46,8	46,5	43,5	42	39,5	37,9	34,8	34,7	33,3	31,5	29,3	28,7	28,8	29,5	31,8	27,1	26,6
PAMIERS SUD	56	56	56	56	56	56	56	56	56	56	51,7	50,1	47,4	46,8	46,5	43,5	42	39,5	37,9	34,8	34,7	33,3	31,5	29,3	28,7	28,8	29,5	31,8	27,1	26,6
MONTGISCARD	55,2	55,2	55,2	55,2	55,2	55,2	55,2	55,2	55,2	55,2	50,5	49,7	46,7	45,6	45,4	42,7	41,2	38,3	36,9	33,8	33,7	32,4	30,6	28,3	27,8	27,9	28,3	30,6	25,7	25,6
PEAGE DE TOULOUSE SUD/OUEST	57	57	57	57	57	57	57	57	57	57	53,1	52,3	49,4	48,1	47,9	44,8	43,8	41	39,7	36	35,9	34,8	33,5	30,7	30,1	30,3	31,1	33,5	28,7	28,4
LE PALAYS	57	57	57	57	57	57	57	57	57	57	53,1	52,3	49,4	48,1	47,9	44,8	43,8	41	39,7	36	35,9	34,8	33,5	30,7	30,1	30,3	31,1	33,5	28,7	28,4
PEAGE DE TOULOUSE SUD/EST	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
MONTAUDRAN	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
LASBORDES	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
SOUPETARD	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
LA ROSERAIE	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
LA CROIX DAURADE	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
BORDEROUGE	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
LES IZARDS	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
SESQUIERES	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,7	52,9	50	48,7	48,5	45,4	44,4	41,6	40,3	36,6	36,5	35,4	34,1	31,3	30,7	30,9	31,7	34,1	29,3	29
