X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
PAMIERS NORD	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,5	51,9	48,9	47,8	47,4	44,3	43	40,3	38,7	35,6	35,5	34,1	32,3	30,1	29,5	29,6	30,3	32,6	27,9	27,4
PAMIERS SUD	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	57,6	53,5	51,9	48,9	47,8	47,4	44,3	43	40,3	38,7	35,6	35,5	34,1	32,3	30,1	29,5	29,6	30,3	32,6	27,9	27,4
MONTGISCARD	57,3	57,3	57,3	57,3	57,3	57,3	57,3	57,3	57,3	57,3	53,3	51,7	48,6	47,6	47,1	44,4	42,9	39,9	38,5	35,1	35	33,9	32,1	29,5	29	29,1	29,7	32,1	26,6	26,5
PEAGE DE TOULOUSE SUD/OUEST	59,2	59,2	59,2	59,2	59,2	59,2	59,2	59,2	59,2	59,2	56	54,3	51,3	50,1	49,7	46,7	45,6	42,5	41,4	37,5	37,4	36,3	34,9	32,2	31,6	31,8	32,6	34,8	29,6	29,3
LE PALAYS	59,2	59,2	59,2	59,2	59,2	59,2	59,2	59,2	59,2	59,2	56	54,3	51,3	50,1	49,7	46,7	45,6	42,5	41,4	37,5	37,4	36,3	34,9	32,2	31,6	31,8	32,6	34,8	29,6	29,3
PEAGE DE TOULOUSE SUD/EST	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
MONTAUDRAN	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
LASBORDES	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
SOUPETARD	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
LA ROSERAIE	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
LA CROIX DAURADE	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
BORDEROUGE	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
LES IZARDS	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
SESQUIERES	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	59,8	56,6	54,9	51,9	50,7	50,3	47,3	46,2	43,1	42	38,1	38	36,9	35,5	32,8	32,2	32,4	33,2	35,4	30,2	29,9
