X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	54,1	52,4	51,6	48,7	45,8	43,6	40,7	38,2	35,9
AUXY	58,2	56,5	55,7	52,8	49,9	47,7	44,8	42,3	40
GONDREVILLE NORD	61,3	59,6	58,8	55,9	53	50,8	47,9	45,4	43,1
GONDREVILLE SUD	65,7	64	63,2	60,3	57,4	55,2	52,3	49,8	47,5
FONTENAY-SUR-LOING	61,9	60,2	59,4	56,5	53,6	51,4	48,5	46	43,7
ST-HILAIRE-LES-ANDRÉSIS	66,6	64,9	64,1	61,2	58,3	56,1	53,2	50,7	48,4
SAVIGNY-SUR-CLAIRIS	67,6	65,9	65,1	62,2	59,3	57,1	54,2	51,7	49,4
VILLENEUVE-DONDAGRE	71,5	69,8	69	66,1	63,2	61	58,1	55,6	53,3
ST-DENIS-LES-SENS	72,7	71	70,2	67,3	64,4	62,2	59,3	56,8	54,5
FLEURY EN BIERE	76,6	74,9	74,1	71,2	68,3	66,1	63,2	60,7	58,4
URY	74,8	73,1	72,3	69,4	66,5	64,3	61,4	58,9	56,6
FONTAINEBLEAU	74	72,3	71,5	68,6	65,7	63,5	60,6	58,1	55,8
NEMOURS	74	72,3	71,5	68,6	65,7	63,5	60,6	58,1	55,8
COURTENAY	70,4	68,7	67,9	65	62,1	59,9	57	54,5	52,2
JOIGNY	72,1	70,4	69,6	66,7	63,8	61,6	58,7	56,2	53,9
AUXERRE NORD	74,9	73,2	72,4	69,5	66,6	64,4	61,5	59	56,7
AUXERRE SUD	74,9	73,2	72,4	69,5	66,6	64,4	61,5	59	56,7
NITRY	77	75,3	74,5	71,6	68,7	66,5	63,6	61,1	58,8
AVALLON	78,9	77,2	76,4	73,5	70,6	68,4	65,5	63	60,7
BIERRE-LES-SEMUR	81	79,3	78,5	75,6	72,7	70,5	67,6	65,1	62,8
POUILLY-EN-AUXOIS	84,6	82,9	82,1	79,2	76,3	74,1	71,2	68,7	66,4
BEAUNE NORD	87,2	85,5	84,7	81,8	78,9	76,7	73,8	71,3	69
BEAUNE SUD	88,5	86,8	86	83,1	80,2	78	75,1	72,6	70,3
CHALON NORD	90,9	89,2	88,4	85,5	82,6	80,4	77,5	75	72,7
CHALON SUD	90,9	89,2	88,4	85,5	82,6	80,4	77,5	75	72,7
TOURNUS	92,5	90,8	90	87,1	84,2	82	79,1	76,6	74,3
MÂCON NORD	95,3	93,6	92,8	89,9	87	84,8	81,9	79,4	77,1
MÂCON SUD	96,2	94,5	93,7	90,8	87,9	85,7	82,8	80,3	78
BELLEVILLE-SUR-SAÔNE	97,8	96,1	95,3	92,4	89,5	87,3	84,4	81,9	79,6
VILLEFRANCHE NORD	98,8	97,1	96,3	93,4	90,5	88,3	85,4	82,9	80,6
VILLEFRANCHE VILLE	99,4	97,7	96,9	94	91,1	88,9	86	83,5	81,2
VILLEFRANCHE LIMAS	102,8	101,1	100,3	97,4	94,5	92,3	89,4	86,9	84,6
VAL DE LOING/SOUPPES	75,7	74	73,2	70,3	67,4	65,2	62,3	59,8	57,5
