X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
VAL DE LOING BARRIERE	81,9	80,2	79,4	76,5	73,6	71,4	68,5	66	63,7
EMPRUNS	79,1	77,4	76,6	73,7	70,8	68,6	65,7	63,2	60,9
SAINT-GERMAIN LAXIS	78	76,3	75,5	72,6	69,7	67,5	64,6	62,1	59,8
CHATILLON-LABORDE	78	76,3	75,5	72,6	69,7	67,5	64,6	62,1	59,8
FORGES	75,6	73,9	73,1	70,2	67,3	65,1	62,2	59,7	57,4
MAROLLES-SUR-SEINE	75,6	73,9	73,1	70,2	67,3	65,1	62,2	59,7	57,4
VULAINES	75,9	74,2	73,4	70,5	67,6	65,4	62,5	60	57,7
TORVILLIERS	78	76,3	75,5	72,6	69,7	67,5	64,6	62,1	59,8
ST-THIBAULT	78,5	76,8	76	73,1	70,2	68	65,1	62,6	60,3
MAGNANT	81,2	79,5	78,7	75,8	72,9	70,7	67,8	65,3	63
VILLE-SOUS-LA-FERTÉ	82,8	81,1	80,3	77,4	74,5	72,3	69,4	66,9	64,6
CHAUMONT/SEMOUTIERS	84,5	82,8	82	79,1	76,2	74	71,1	68,6	66,3
THENNELIERES	79,9	78,2	77,4	74,5	71,6	69,4	66,5	64	61,7
CHARMONT-SOUS-BARBUISE	82,1	80,4	79,6	76,7	73,8	71,6	68,7	66,2	63,9
VALLÉE DE L’AUBE	83,3	81,6	80,8	77,9	75	72,8	69,9	67,4	65,1
SOMMESOUS	85,4	83,7	82,9	80	77,1	74,9	72	69,5	67,2
VATRY	86,2	84,5	83,7	80,8	77,9	75,7	72,8	70,3	68
MONT-CHOISY	87,6	85,9	85,1	82,2	79,3	77,1	74,2	71,7	69,4
ST-GIBRIEN	88,6	86,9	86,1	83,2	80,3	78,1	75,2	72,7	70,4
REIMS EST	93,6	91,9	91,1	88,2	85,3	83,1	80,2	77,7	75,4
REIMS SUD	93,4	91,7	90,9	88	85,1	82,9	80	77,5	75,2
REIMS OUEST	94,9	93,2	92,4	89,5	86,6	84,4	81,5	79	76,7
DORMANS	95,4	93,7	92,9	90	87,1	84,9	82	79,5	77,2
CHÂTEAU-THIERRY	96,1	94,4	93,6	90,7	87,8	85,6	82,7	80,2	77,9
MONTREUIL-REIMS	98,8	97,1	96,3	93,4	90,5	88,3	85,4	82,9	80,6
CHÂLONS/LA VEUVE	101,3	99,6	98,8	95,9	93	90,8	87,9	85,4	83,1
CHÂLONS/MOURMELON	103,5	101,8	101	98,1	95,2	93	90,1	87,6	85,3
ST-ETIENNE-AU-TEMPLE	90	88,3	87,5	84,6	81,7	79,5	76,6	74,1	71,8
ST-GERMAIN-LAXIS	89,6	87,9	87,1	84,2	81,3	79,1	76,2	73,7	71,4
BEAUNE SUD	89,6	87,9	87,1	84,2	81,3	79,1	76,2	73,7	71,4
STE-MENEHOULD	91,9	90,2	89,4	86,5	83,6	81,4	78,5	76	73,7
CLERMONT-EN-ARGONNE	93,5	91,8	91	88,1	85,2	83	80,1	77,6	75,3
VOIE SACRÉE	95,9	94,2	93,4	90,5	87,6	85,4	82,5	80	77,7
VERDUN	98,5	96,8	96	93,1	90,2	88	85,1	82,6	80,3
FRESNES-EN-WOEVRE	98,5	96,8	96	93,1	90,2	88	85,1	82,6	80,3
JARNY	100,1	98,4	97,6	94,7	91,8	89,6	86,7	84,2	81,9
BEAUMONT	103,6	101,9	101,1	98,2	95,3	93,1	90,2	87,7	85,4
GYE	97	95,3	94,5	91,6	88,7	86,5	83,6	81,1	78,8
COLOMBEY-LES-BELLES	94,7	93	92,2	89,3	86,4	84,2	81,3	78,8	76,5
CHATENOIS SUD	92	90,3	89,5	86,6	83,7	81,5	78,6	76,1	73,8
BULGNEVILLE	91,5	89,8	89	86,1	83,2	81	78,1	75,6	73,3
ROBECOURT	90	88,3	87,5	84,6	81,7	79,5	76,6	74,1	71,8
MONTIGNY-LE-ROI	88,3	86,6	85,8	82,9	80	77,8	74,9	72,4	70,1
LANGRES NORD	86,6	84,9	84,1	81,2	78,3	76,1	73,2	70,7	68,4
LANGRES SUD	87,4	85,7	84,9	82	79,1	76,9	74	71,5	69,2
TIL-CHATEL	89,9	88,2	87,4	84,5	81,6	79,4	76,5	74	71,7
DIJON/ARC-SUR- TILLE	92,7	91	90,2	87,3	84,4	82,2	79,3	76,8	74,5
DIJON SUD	91,1	89,4	88,6	85,7	82,8	80,6	77,7	75,2	72,9
NUITS-ST-GEORGES	89,4	87,7	86,9	84	81,1	78,9	76	73,5	71,2
SEURRE	90,6	88,9	88,1	85,2	82,3	80,1	77,2	74,7	72,4
DÔLE	93,1	91,4	90,6	87,7	84,8	82,6	79,7	77,2	74,9
GENDREY	94,2	92,5	91,7	88,8	85,9	83,7	80,8	78,3	76
BESANÇON OUEST	96,8	95,1	94,3	91,4	88,5	86,3	83,4	80,9	78,6
BESANÇON NORD	96,8	95,1	94,3	91,4	88,5	86,3	83,4	80,9	78,6
BESANÇON EST	96,8	95,1	94,3	91,4	88,5	86,3	83,4	80,9	78,6
BAUME-LES-DAMES	99,6	97,9	97,1	94,2	91,3	89,1	86,2	83,7	81,4
L’ISLE-SUR-LE-DOUBS	101,1	99,4	98,6	95,7	92,8	90,6	87,7	85,2	82,9
SAINT-MAURICE	105,7	104	103,2	100,3	97,4	95,2	92,3	89,8	87,5
DIJON-CRIMOLOIS	91,9	90,2	89,4	86,5	83,6	81,4	78,5	76	73,7
SOIRANS	92,3	90,6	89,8	86,9	84	81,8	78,9	76,4	74,1
CHOISEY	93,1	91,4	90,6	87,7	84,8	82,6	79,7	77,2	74,9
BERSAILLIN	96,3	94,6	93,8	90,9	88	85,8	82,9	80,4	78,1
ARLAY	96,5	94,8	94	91,1	88,2	86	83,1	80,6	78,3
BEAUREPAIRE	97,7	96	95,2	92,3	89,4	87,2	84,3	81,8	79,5
LE MIROIR	98,8	97,1	96,3	93,4	90,5	88,3	85,4	82,9	80,6
BEAUPONT	99,8	98,1	97,3	94,4	91,5	89,3	86,4	83,9	81,6
VAL DE SAONE	102,5	100,8	100	97,1	94,2	92	89,1	86,6	84,3
MÂCON CENTRE	95,6	93,9	93,1	90,2	87,3	85,1	82,2	79,7	77,4
FEILLENS	95,4	93,7	92,9	90	87,1	84,9	82	79,5	77,2
REPLONGES	95,4	93,7	92,9	90	87,1	84,9	82	79,5	77,2
ST-GENIS	99,9	98,2	97,4	94,5	91,6	89,4	86,5	84	81,7
BOURG NORD	98	96,3	95,5	92,6	89,7	87,5	84,6	82,1	79,8
VIRIAT	98,1	96,4	95,6	92,7	89,8	87,6	84,7	82,2	79,9
BOURG SUD	99,3	97,6	96,8	93,9	91	88,8	85,9	83,4	81,1
ST-MARTIN-DU-FRESNE	103,9	102,2	101,4	98,5	95,6	93,4	90,5	88	85,7
SYLANS SUD	104,6	102,9	102,1	99,2	96,3	94,1	91,2	88,7	86,4
BELLEGARDE	109,1	107,4	106,6	103,7	100,8	98,6	95,7	93,2	90,9
ELOISE	110,5	108,8	108	105,1	102,2	100	97,1	94,6	92,3
VIRY	114,8	113,1	112,3	109,4	106,5	104,3	101,4	98,9	96,6
LA CROIX-CHALON	104,2	102,5	101,7	98,8	95,9	93,7	90,8	88,3	86
GROISSIAT	106	104,3	103,5	100,6	97,7	95,5	92,6	90,1	87,8
PONT-D’AIN	100,6	98,9	98,1	95,2	92,3	90,1	87,2	84,7	82,4
AMBÉRIEU	102,2	100,5	99,7	96,8	93,9	91,7	88,8	86,3	84
PÉROUGES	103,1	101,4	100,6	97,7	94,8	92,6	89,7	87,2	84,9
BALAN	103,1	101,4	100,6	97,7	94,8	92,6	89,7	87,2	84,9
LA BOISE/MONTUEL	104,7	103	102,2	99,3	96,4	94,2	91,3	88,8	86,5
BEYNOST	105,6	103,9	103,1	100,2	97,3	95,1	92,2	89,7	87,4
LA COTIERE	105,5	103,8	103	100,1	97,2	95	92,1	89,6	87,3
LA BOISSE	107,1	105,4	104,6	101,7	98,8	96,6	93,7	91,2	88,9
