X	BELLEGARDE	ELOISE ANNECY	VIRY
BELLEGARDE	0	1,4	5,7
ELOISE ANNECY	1,4	0	4,3
VIRY	5,7	4,3	0
BARRIERE DE MONTREUIL AUX LIONS	62,1	63,5	67,8
MONTREUIL AUX LIONS	59,9	61,3	65,6
CHATEAU THIERRY	57,4	58,8	63,1
DORMANS	54,7	56,1	60,4
REIMS OUEST THILLOIS	54	55,4	59,7
REIMS NORD (ORMES)	53,5	54,9	59,2
REIMS SUD	52	53,4	57,7
REIMS TAISSY	52,2	53,6	57,9
CHALONS LA VEUVE	48,6	50	54,3
SAINT ETIENNE AU TEMPLE	48,2	49,6	53,9
SAINTE MENEHOULD	50,5	51,9	56,2
CLERMONT EN ARGONNE	52,1	53,5	57,8
VOIE SACREE	54,5	55,9	60,2
VERDUN	57,1	58,5	62,8
FRESNES EN WOEVRE	57,1	58,5	62,8
JARNY	58,7	60,1	64,4
METZ BEAUMONT	62,2	63,6	67,9
SAINT GIBRIEN	47,2	48,6	52,9
MONT CHOISY	46,2	47,6	51,9
VATRY	44,8	46,2	50,5
SOMMESOUS	44	45,4	49,7
VALLEE DE L AUBE	41,9	43,3	47,6
CHARMONT	40,7	42,1	46,4
THENNELIERES	39,4	40,8	45,1
